,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,FEBRERO 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,160,04,240,02,240,02,330,01,350,07,250,08,240,09,,240,09,,03
,2,000,00,000,00,260,03,260,02,000,00,240,12,230,12,200,08,,240,12,,03
,3,000,00,080,02,000,00,000,00,030,02,320,03,330,09,260,07,,330,09,,02
,4,240,00,120,02,100,01,260,03,040,04,320,04,270,06,240,10,,240,10,,04
,5,070,04,110,01,030,04,030,08,030,10,010,07,240,05,240,10,,030,10,,06
,6,240,04,070,05,080,05,080,09,360,03,280,02,250,09,250,07,,080,09,,05
,7,240,02,160,05,270,02,240,02,270,05,240,14,240,10,240,08,,240,14,,05
,8,060,03,000,00,000,00,000,00,270,06,250,09,240,06,240,06,,250,09,,05
,9,240,06,090,02,090,06,050,07,030,12,020,10,030,05,020,04,,030,12,,06
,10,060,02,270,03,180,02,270,02,240,06,240,13,240,11,240,12,,240,13,,05
,11,030,03,140,03,000,00,270,03,240,13,240,24,240,15,160,05,,240,24,,04
,12,230,08,360,05,000,00,000,00,250,15,240,20,240,15,240,10,,240,20,,09
,13,180,03,180,08,190,02,020,02,280,04,240,17,240,21,240,10,,240,21,,06
,14,240,03,000,00,000,00,000,00,000,00,220,22,240,25,180,05,,240,25,,02
,15,280,03,200,10,000,00,000,00,090,03,240,17,240,17,240,10,,240,17,,07
,16,240,10,120,03,120,02,260,03,010,06,350,03,270,07,240,08,,240,10,,05
,17,240,10,240,07,240,08,240,12,240,15,240,20,240,20,240,04,,240,20,,11
,18,000,00,120,05,000,00,000,00,240,09,240,17,230,17,240,10,,240,17,,07
,19,030,03,000,00,020,02,120,02,240,10,240,12,240,16,240,05,,240,16,,04
,20,060,03,000,00,000,00,240,07,250,07,240,15,230,18,000,00,,230,18,,05
,21,240,11,170,04,090,03,090,04,330,02,240,10,160,03,090,02,,240,11,,04
,22,090,02,000,00,260,03,120,06,090,05,060,04,270,08,000,00,,270,08,,04
,23,000,00,000,00,000,00,000,00,300,03,230,12,220,21,190,15,,220,21,,02
,24,250,06,000,00,000,00,000,00,250,07,220,20,240,08,220,10,,220,20,,07
,25,130,02,270,03,090,02,350,01,030,05,240,04,240,10,240,03,,240,10,,03
,26,000,00,000,00,030,07,030,03,040,11,010,10,270,07,220,10,,040,11,,07
,27,000,00,240,05,240,04,070,05,070,03,080,04,270,05,240,06,,240,06,,05
,28,040,03,000,00,000,00,000,00,030,06,240,10,240,16,250,07,,240,16,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,
