,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,MARZO 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,170,03,020,05,000,00,000,00,190,07,220,18,220,12,240,16,,220,18,,06
,2,200,05,320,02,070,03,080,02,000,00,250,10,240,15,220,06,,240,15,,04
,3,160,05,000,00,120,05,090,06,350,04,240,10,240,14,240,09,,240,14,,06
,4,000,00,000,00,240,05,180,03,240,09,240,09,240,19,090,03,,240,19,,04
,5,070,02,240,03,180,03,180,04,240,07,250,07,250,06,180,07,,240,07,,05
,6,090,03,000,00,180,05,180,03,240,12,240,15,240,15,160,05,,240,15,,05
,7,000,00,090,02,000,00,000,00,340,04,240,06,240,14,000,00,,240,14,,01
,8,040,03,000,00,100,04,000,00,000,00,270,04,240,11,000,00,,240,11,,02
,9,000,00,070,03,100,02,000,00,000,00,250,18,240,15,000,00,,250,18,,01
,10,000,00,000,07,000,00,000,00,000,00,240,15,240,14,240,10,,240,15,,04
,11,230,05,240,08,030,02,000,00,240,13,270,14,260,12,100,06,,270,14,,07
,12,090,02,030,03,000,00,000,00,020,03,260,07,140,10,150,04,,140,10,,03
,13,240,02,000,00,110,03,130,05,280,04,240,16,240,10,240,02,,240,16,,04
,14,240,08,000,00,000,00,000,00,000,00,250,20,240,13,040,05,,250,20,,03
,15,000,00,110,05,000,00,140,03,250,08,150,06,000,00,150,06,,250,08,,04
,16,000,00,000,00,240,08,150,04,080,03,290,09,350,04,080,04,,290,09,,04
,17,150,02,150,04,000,00,000,00,330,04,230,17,240,19,230,06,,240,19,,04
,18,210,05,120,04,000,00,120,04,100,02,270,05,250,08,250,09,,250,09,,05
,19,000,00,240,03,180,04,180,05,260,05,260,10,250,14,240,09,,250,14,,05
,20,000,00,000,00,070,04,000,00,050,06,240,14,240,18,240,07,,240,18,,05
,21,000,00,110,03,000,00,000,00,030,04,240,13,240,16,240,06,,240,16,,04
,22,000,00,110,02,100,03,090,04,360,03,270,07,240,15,100,02,,240,15,,03
,23,250,02,000,00,250,03,090,04,060,05,270,08,240,13,240,03,,240,13,,04
,24,000,00,090,02,080,03,000,00,040,05,240,15,230,12,230,03,,240,15,,03
,25,240,08,150,07,070,02,070,03,000,00,240,10,240,10,090,02,,240,10,,05
,26,240,02,000,00,110,05,000,00,270,05,280,05,230,10,080,06,,230,10,,05
,27,080,07,040,08,070,04,000,00,000,00,010,03,260,07,260,03,,040,08,,04
,28,000,00,000,00,050,07,100,06,090,03,010,06,010,03,020,02,,050,07,,03
,29,270,02,060,03,240,04,160,06,270,06,240,12,240,18,230,04,,240,18,,05
,30,230,07,130,05,090,03,250,03,330,03,230,10,240,07,000,00,,230,10,,04
,31,000,00,210,05,000,00,210,05,000,00,250,05,250,03,040,03,,210,05,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,13,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,20,,
