,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,NOVIEMBRE 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,000,00,240,08,240,05,240,20,240,22,240,20,230,12,,240,22,,10
,2,210,05,220,09,000,00,050,04,240,17,240,18,240,19,220,08,,240,19,,09
,3,240,03,050,03,120,08,000,00,000,00,240,15,240,10,000,00,,240,15,,03
,4,000,00,010,03,030,07,100,05,040,05,350,06,000,00,240,08,,240,08,,05
,5,210,05,240,04,240,05,230,08,210,06,260,03,240,06,220,08,,230,08,,06
,6,210,06,240,12,230,10,100,05,240,10,240,17,240,20,000,00,,240,20,,10
,7,190,03,040,05,020,05,030,04,230,18,240,15,240,19,240,07,,240,19,,06
,8,220,06,000,00,000,00,270,05,240,13,240,20,240,18,240,06,,240,20,,06
,9,090,04,160,06,140,06,000,00,300,03,360,08,020,14,050,12,,020,14,,06
,10,120,07,090,04,110,09,090,06,250,10,240,16,270,10,240,05,,240,16,,08
,11,240,06,240,04,080,03,030,03,240,14,240,20,240,25,240,08,,240,25,,07
,12,240,06,000,00,000,00,270,03,240,15,240,18,240,20,190,17,,240,20,,11
,13,250,05,060,06,250,02,000,00,000,00,250,18,200,09,090,05,,250,18,,05
,14,210,04,240,03,000,00,040,03,240,15,240,32,240,16,200,07,,240,32,,06
,15,200,06,000,00,200,08,000,00,240,18,240,20,240,18,000,00,,240,20,,07
,16,050,05,000,00,100,04,000,00,030,06,280,09,300,04,000,00,,280,09,,04
,17,260,03,000,00,000,00,340,02,010,08,010,08,020,06,000,00,,010,08,,03
,18,240,06,210,04,000,00,000,00,270,03,250,08,260,06,240,08,,250,08,,05
,19,000,00,250,03,050,03,000,00,000,00,240,10,230,10,220,09,,240,10,,03
,20,000,00,000,00,000,00,060,05,020,05,240,18,240,18,120,03,,240,18,,04
,21,000,00,000,00,280,03,010,03,240,08,240,12,150,03,140,08,,240,12,,03
,22,120,02,000,00,000,00,250,04,260,07,240,14,230,21,240,08,,230,21,,06
,23,190,05,030,03,090,03,240,03,010,03,320,08,240,10,250,10,,240,10,,04
,24,000,00,120,02,220,08,000,00,240,10,240,17,240,18,240,21,,240,21,,09
,25,250,08,230,07,000,00,030,06,270,04,270,10,260,09,240,10,,270,10,,08
,26,000,00,240,06,210,05,000,00,230,10,250,12,240,15,210,12,,240,15,,08
,27,210,05,170,07,200,03,020,04,220,13,220,15,220,15,240,10,,220,15,,09
,28,160,06,240,08,160,06,060,05,240,13,240,18,240,16,250,07,,240,18,,08
,29,240,03,230,06,150,04,000,00,240,12,240,17,230,10,210,08,,240,17,,07
,30,000,00,000,00,000,00,000,00,340,05,290,10,280,08,240,08,,290,10,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,16,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,32,,
