,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,AGOSTO,,AGOSTO 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,240,06,230,05,000,00,150,03,000,00,220,10,220,15,220,08,,220,15,,06
,2,090,03,070,04,090,03,100,05,090,05,270,06,260,09,240,10,,240,10,,05
,3,110,04,000,00,000,00,240,05,240,07,240,15,220,12,350,03,,240,15,,05
,4,080,03,180,02,200,03,250,05,000,00,240,06,100,05,110,05,,240,06,,04
,5,120,03,240,06,000,00,160,04,090,08,060,06,010,05,020,08,,090,08,,06
,6,020,06,020,10,030,04,090,12,090,07,240,05,240,10,180,17,,180,17,,09
,7,240,10,330,05,230,04,000,00,240,03,230,15,220,08,350,06,,230,15,,06
,8,300,02,120,04,140,02,280,02,020,04,030,04,070,05,060,05,,070,05,,04
,9,000,00,150,03,150,03,150,03,040,03,240,05,230,08,220,05,,230,08,,03
,10,180,08,240,05,220,02,240,02,330,03,240,13,240,10,210,07,,240,13,,06
,11,180,06,000,00,000,00,240,06,240,10,240,22,240,19,220,08,,240,22,,07
,12,250,10,180,05,280,03,200,02,220,10,220,17,230,18,240,10,,230,18,,10
,13,120,09,170,02,220,04,130,06,220,04,240,06,240,04,130,03,,120,09,,04
,14,240,03,060,02,050,12,050,15,060,10,030,12,060,08,060,04,,050,15,,09
,15,020,05,000,00,050,04,160,05,240,08,240,08,220,08,100,06,,240,08,,06
,16,010,03,090,03,000,00,240,14,100,05,350,03,000,00,000,00,,240,14,,03
,17,050,06,120,07,050,03,090,02,000,00,000,00,220,15,220,08,,220,15,,05
,18,000,00,000,00,080,03,090,03,030,07,030,11,080,07,090,04,,030,11,,04
,19,080,06,030,05,030,09,040,07,050,04,010,05,350,03,090,02,,030,09,,05
,20,000,00,000,00,000,00,240,03,250,05,270,03,000,00,260,05,,250,05,,02
,21,250,05,290,03,030,04,140,03,000,00,290,06,270,06,250,06,,290,06,,05
,22,120,02,120,03,110,05,120,06,060,07,020,09,030,08,070,11,,070,11,,07
,23,090,07,030,12,050,10,330,12,360,15,360,17,350,17,300,05,,360,17,,12
,24,030,09,050,03,030,07,050,09,110,04,060,04,310,02,000,00,,030,09,,04
,25,000,00,050,03,000,00,090,06,260,03,230,12,220,04,290,03,,230,12,,03
,26,000,00,100,06,090,04,110,07,010,04,040,10,360,10,360,10,,040,10,,07
,27,030,04,360,03,010,07,030,05,050,05,350,05,290,02,270,02,,010,07,,05
,28,120,06,000,00,180,04,090,09,250,06,300,03,350,02,090,02,,090,09,,04
,29,000,00,150,03,090,06,120,07,270,04,350,07,360,11,020,10,,360,11,,07
,30,010,18,020,18,360,20,010,17,030,05,350,03,240,05,130,05,,360,20,,11
,31,330,04,080,03,090,10,330,04,350,05,350,08,030,13,030,14,,030,14,,07
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,22,,
