,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,OCTUBRE,,OCTUBRE 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,070,03,000,00,050,04,100,04,030,05,020,04,010,05,040,02,,030,05,,04
,2,000,00,180,02,220,04,250,04,250,04,240,10,250,12,240,04,,250,12,,04
,3,240,04,000,00,000,00,000,00,270,05,250,15,240,10,230,04,,250,15,,04
,4,170,04,040,06,040,06,090,05,010,03,240,10,240,12,000,00,,240,12,,06
,5,240,08,260,03,020,03,220,12,270,07,240,20,200,10,270,10,,240,20,,09
,6,200,08,150,04,120,02,270,04,030,03,320,03,230,15,060,03,,230,15,,04
,7,100,04,220,05,130,05,240,04,260,04,270,03,240,10,210,06,,240,10,,05
,8,160,04,000,00,240,07,250,16,220,07,220,15,220,16,230,10,,250,16,,09
,9,220,15,200,11,220,12,030,04,220,10,240,15,220,20,210,20,,220,20,,14
,10,190,15,030,03,000,00,030,02,230,15,230,13,210,13,240,03,,190,15,,08
,11,150,04,000,00,260,05,000,00,110,05,240,15,210,13,100,02,,240,15,,05
,12,000,00,000,00,000,00,260,02,240,05,240,15,240,13,140,06,,240,15,,04
,13,090,07,030,03,000,00,090,03,350,03,350,03,270,06,060,05,,090,07,,03
,14,240,03,000,00,060,04,000,00,090,06,020,04,050,05,080,04,,090,06,,04
,15,000,00,360,03,270,03,000,00,000,00,270,07,240,14,000,00,,240,14,,02
,16,000,00,020,03,010,03,000,00,210,07,240,22,240,20,240,03,,240,22,,03
,17,180,03,000,00,140,04,220,04,240,11,250,11,280,04,230,08,,240,11,,04
,18,220,06,000,00,100,04,220,10,230,05,220,12,230,13,220,10,,230,13,,08
,19,020,04,000,00,000,00,000,00,340,03,220,15,220,15,020,06,,220,15,,04
,20,360,03,250,04,350,02,090,03,210,03,220,18,230,16,220,15,,220,18,,04
,21,150,08,030,02,240,02,060,03,090,04,080,06,050,05,240,11,,240,11,,05
,22,000,00,000,00,220,06,240,03,270,04,030,03,050,02,070,06,,220,06,,03
,23,040,05,300,03,000,00,030,03,280,03,290,05,240,07,100,07,,240,07,,04
,24,350,03,090,04,000,00,270,03,050,03,240,10,220,20,270,07,,220,20,,04
,25,170,03,070,05,040,04,010,06,050,04,030,05,070,07,010,10,,010,10,,05
,26,030,06,030,13,040,11,010,09,010,08,030,08,350,05,040,02,,030,13,,08
,27,020,01,080,02,120,02,000,00,240,10,240,16,260,18,240,10,,260,18,,06
,28,080,09,090,06,120,03,090,03,020,04,240,10,240,12,240,10,,240,12,,08
,29,000,00,000,00,090,03,000,00,220,12,230,16,220,17,210,20,,210,20,,08
,30,240,08,000,00,050,04,000,00,230,15,220,16,210,17,300,04,,210,17,,06
,31,220,04,000,00,300,02,000,00,240,15,240,17,230,10,230,05,,240,17,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,22,,
