,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,DICIEMBRE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,000,00,000,00,270,05,210,15,220,23,220,19,210,05,,220,23,,05
,2,150,03,350,02,000,00,070,08,010,02,310,05,240,20,240,06,,240,20,,04
,3,090,04,150,04,060,04,040,05,310,03,250,10,260,11,150,05,,260,11,,05
,4,040,05,000,00,030,03,030,10,030,10,340,09,050,03,000,00,,030,10,,04
,5,230,06,220,05,280,02,250,03,270,02,260,10,240,11,240,06,,240,11,,06
,6,230,07,220,10,170,02,010,03,240,15,230,23,220,17,240,05,,230,23,,09
,7,000,00,000,00,000,00,260,03,220,20,230,24,210,12,230,10,,230,24,,07
,8,170,02,360,03,040,10,040,08,020,05,270,04,270,07,270,04,,040,10,,05
,9,260,04,230,03,210,05,240,06,250,04,070,06,000,00,000,00,,240,06,,04
,10,000,00,350,04,070,03,350,03,020,06,340,02,250,07,240,05,,250,07,,04
,11,090,04,120,03,120,03,320,02,250,11,240,15,230,19,210,12,,230,19,,08
,12,000,00,240,07,000,00,220,05,230,10,230,15,230,12,000,00,,230,15,,06
,13,020,03,180,03,150,03,030,03,240,13,260,10,260,16,250,15,,260,16,,07
,14,200,03,190,03,170,05,080,04,010,04,250,08,240,18,220,14,,240,18,,05
,15,090,02,100,03,000,00,140,08,240,07,240,14,230,14,210,07,,240,14,,07
,16,000,00,000,00,180,07,030,04,230,10,230,19,240,20,220,12,,240,20,,09
,17,210,07,240,04,150,02,240,04,240,15,240,20,240,10,240,10,,240,20,,09
,18,180,03,230,11,000,00,240,06,240,10,250,13,250,15,230,12,,250,15,,11
,19,240,09,210,06,210,09,240,05,240,08,230,09,230,12,240,14,,240,14,,09
,20,090,02,180,05,150,05,040,07,320,07,250,10,230,11,180,09,,230,11,,07
,21,210,06,200,11,210,10,250,03,240,15,230,20,240,14,220,16,,230,20,,13
,22,050,07,000,05,350,06,000,00,220,10,230,20,210,20,210,10,,230,20,,09
,23,200,08,110,04,000,00,000,00,030,02,240,15,230,13,240,10,,240,15,,06
,24,100,02,000,00,090,03,040,02,300,05,270,06,240,12,000,00,,240,12,,03
,25,000,00,060,03,000,00,000,00,000,00,240,15,240,20,210,08,,240,20,,02
,26,220,10,050,03,090,02,040,03,240,07,240,15,240,20,210,09,,240,20,,08
,27,160,03,000,00,180,10,090,05,240,08,240,20,230,22,240,10,,230,22,,09
,28,240,04,230,02,220,12,060,02,240,08,240,18,230,18,210,11,,240,18,,10
,29,210,07,230,05,220,07,200,10,300,04,240,13,250,10,240,07,,240,13,,07
,30,240,12,230,10,240,05,220,12,260,06,240,17,220,16,000,00,,240,17,,11
,31,210,03,210,09,050,03,090,03,240,25,240,25,220,18,220,20,,240,25,,14
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,16,,07
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,
