,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,ENERO 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,220,10,200,03,000,00,280,05,230,10,230,15,220,18,210,10,,220,18,,10
,2,000,00,250,02,080,04,000,00,270,06,240,13,240,12,200,04,,240,13,,04
,3,000,00,090,03,030,04,050,09,080,04,350,06,310,04,250,05,,050,09,,04
,4,260,06,260,05,040,04,010,04,010,03,270,03,270,09,270,02,,270,09,,04
,5,000,00,250,05,280,04,010,03,040,03,030,04,310,06,240,03,,310,06,,04
,6,170,03,210,06,200,05,230,05,310,02,260,04,270,03,000,00,,210,06,,04
,7,000,00,050,08,010,09,010,10,020,09,320,05,240,07,240,10,,010,10,,09
,8,220,04,000,00,100,07,230,04,230,10,230,15,230,14,240,12,,230,15,,09
,9,160,02,090,02,100,03,060,03,030,03,020,05,310,04,250,06,,250,06,,03
,10,230,08,020,05,000,00,020,03,300,04,240,06,240,15,240,09,,240,15,,06
,11,240,07,000,00,110,04,300,04,000,00,310,05,290,06,240,06,,240,07,,05
,12,210,02,110,05,000,00,100,02,290,03,300,06,240,07,140,04,,240,07,,04
,13,120,08,120,04,200,04,260,03,330,03,270,09,240,10,230,13,,230,13,,06
,14,220,06,000,00,120,03,090,02,350,08,260,06,240,09,260,05,,240,09,,06
,15,280,05,240,08,000,00,000,00,270,03,270,07,270,09,230,09,,270,09,,06
,16,240,04,260,03,020,02,310,03,310,02,290,04,250,07,250,08,,250,08,,04
,17,270,02,250,03,020,02,020,07,010,06,350,05,300,02,220,07,,020,07,,04
,18,220,02,280,04,270,02,010,04,010,13,010,08,310,04,270,03,,010,13,,04
,19,240,04,000,00,020,03,350,10,020,03,350,02,270,03,250,09,,350,10,,03
,20,250,06,050,03,030,06,000,00,340,02,230,15,220,12,210,12,,230,15,,06
,21,240,03,000,00,240,09,240,05,260,05,240,13,230,12,240,11,,240,13,,07
,22,170,04,200,08,190,06,000,00,230,06,230,17,230,13,240,06,,230,17,,06
,23,240,06,240,04,070,06,080,03,040,06,360,02,240,16,210,05,,240,16,,06
,24,240,07,000,00,130,02,140,02,280,05,230,13,240,22,270,05,,240,22,,05
,25,000,00,250,02,150,04,090,03,050,04,230,10,230,13,230,12,,230,13,,04
,26,200,07,200,06,000,00,310,02,250,08,250,15,060,04,220,10,,250,15,,07
,27,210,06,180,10,210,05,250,02,010,06,040,03,270,07,250,12,,250,12,,06
,28,240,09,000,00,000,00,300,02,200,07,270,07,250,10,000,00,,250,10,,05
,29,000,00,000,00,210,03,110,02,090,03,230,16,230,15,220,11,,230,16,,03
,30,180,02,220,11,230,06,260,08,240,07,250,18,230,20,230,12,,230,20,,10
,31,230,06,240,03,240,05,000,00,260,04,250,15,230,11,210,07,,250,15,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,22,,
