,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,CENMETEOVALP,,,,,MES/AÑO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,100,05,000,00,090,04,080,04,270,04,240,10,250,06,,240,10,,04
,2,040,05,220,02,240,06,230,08,240,15,230,15,210,16,000,00,,210,16,,07
,3,000,00,000,00,000,00,000,00,000,00,000,00,000,00,000,00,,000,00,,00
,4,000,00,240,03,090,03,000,00,210,10,000,00,210,09,000,00,,210,10,,02
,5,110,03,110,05,100,04,000,00,250,10,010,03,240,08,040,02,,250,10,,04
,6,090,03,120,03,000,00,000,00,270,03,240,07,000,00,150,05,,240,07,,03
,7,000,00,000,00,030,05,140,10,040,15,050,11,060,06,060,09,,040,15,,08
,8,110,05,090,06,110,08,100,09,040,06,360,08,030,03,100,01,,100,09,,06
,9,120,04,150,04,170,07,110,06,240,13,230,20,210,20,010,07,,230,20,,07
,10,180,13,230,03,230,05,230,05,270,02,000,00,240,12,330,03,,180,13,,04
,11,350,02,270,02,000,00,000,00,260,08,000,00,230,14,210,09,,230,14,,02
,12,120,05,150,02,250,06,000,00,000,00,200,07,000,00,150,04,,200,07,,03
,13,100,03,070,04,000,00,000,00,360,03,180,08,190,13,000,00,,190,13,,03
,14,080,05,000,00,000,00,000,00,000,00,000,00,180,09,360,05,,180,09,,00
,15,000,00,060,04,060,02,000,00,340,02,210,10,000,00,030,02,,210,10,,02
,16,000,00,190,04,060,02,000,00,240,04,030,06,000,00,020,04,,030,06,,03
,17,000,00,060,02,020,06,090,06,020,05,180,06,150,03,200,03,,020,06,,04
,18,090,03,040,06,000,00,050,04,030,04,210,10,030,05,030,04,,210,10,,04
,19,030,04,000,00,070,04,050,04,090,05,030,02,010,02,020,03,,090,05,,04
,20,010,05,050,03,070,07,070,09,050,09,280,04,180,05,090,03,,070,09,,05
,21,090,03,050,03,000,00,000,00,230,06,180,17,180,13,000,00,,180,17,,03
,22,000,00,000,00,000,00,320,03,000,00,180,13,170,15,170,12,,170,15,,02
,23,150,09,340,05,020,03,020,03,010,03,180,18,180,14,000,00,,180,18,,04
,24,350,03,100,03,000,00,000,00,200,04,180,16,180,14,000,00,,180,16,,03
,25,060,02,000,00,000,00,000,00,000,00,200,06,180,05,180,04,,200,06,,01
,26,000,00,080,04,080,04,000,00,330,05,180,15,160,12,000,00,,180,15,,04
,27,000,00,000,00,080,03,200,04,010,03,200,12,000,00,060,09,,200,12,,03
,28,180,04,000,00,070,04,000,00,360,03,210,07,180,12,120,03,,180,12,,04
,29,210,05,200,04,000,00,360,08,210,09,180,13,180,10,000,00,,180,13,,07
,30,270,05,000,00,070,04,000,00,000,04,090,10,180,10,100,03,,090,10,,04
,31,000,00,000,00,000,00,180,03,230,03,170,11,200,04,150,08,,170,11,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,11,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,20,,
