,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,JULIO 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,080,08,050,03,000,00,060,04,210,07,000,00,060,05,,080,08,,04
,2,000,00,200,04,090,05,000,00,000,00,000,00,150,10,160,12,,160,12,,02
,3,060,03,000,00,000,00,000,00,190,02,020,03,000,00,000,00,,060,03,,00
,4,000,00,000,00,050,06,070,12,030,06,300,04,240,02,000,00,,070,12,,03
,5,000,00,200,04,000,00,030,05,050,03,040,03,040,12,090,04,,040,12,,04
,6,090,04,000,00,310,03,000,00,000,00,160,13,150,08,000,00,,160,13,,02
,7,000,00,000,00,000,00,000,00,180,03,360,03,030,03,120,03,,180,03,,02
,8,330,03,080,04,070,04,180,07,180,07,180,07,180,05,060,05,,180,07,,05
,9,160,03,050,09,000,00,060,05,300,02,150,13,040,05,040,05,,150,13,,05
,10,140,02,040,00,090,03,040,05,160,05,180,11,170,14,000,00,,170,14,,04
,11,030,07,000,00,050,04,000,00,000,00,050,05,000,00,290,04,,030,07,,02
,12,050,07,340,15,330,30,300,15,300,20,210,15,180,10,150,03,,330,30,,15
,13,120,03,120,11,090,06,100,08,050,03,180,12,180,15,000,00,,180,15,,07
,14,000,00,120,03,060,05,190,02,270,02,180,10,180,16,000,00,,180,16,,03
,15,050,05,000,00,050,03,030,04,360,05,180,07,180,09,110,05,,180,09,,05
,16,060,07,090,03,090,05,090,06,000,00,190,14,190,08,000,00,,190,14,,06
,17,000,00,050,04,190,04,000,00,210,04,180,10,190,10,320,03,,180,10,,04
,18,000,00,000,00,180,06,000,00,320,03,180,15,180,08,130,08,,180,15,,05
,19,170,09,000,00,000,00,140,17,350,04,180,10,180,18,180,04,,180,18,,07
,20,000,00,030,03,080,04,300,03,210,05,180,14,190,10,300,03,,180,14,,04
,21,240,06,010,02,000,00,000,00,180,05,180,10,180,18,000,00,,180,18,,04
,22,000,00,000,00,000,00,000,00,070,05,270,03,190,05,120,03,,070,05,,02
,23,070,03,000,00,230,04,000,00,240,06,000,00,000,00,000,00,,240,06,,00
,24,000,00,200,06,040,04,230,05,030,09,190,07,050,04,320,04,,030,09,,05
,25,060,08,000,00,050,05,180,03,200,10,240,07,180,06,200,06,,200,10,,06
,26,040,09,160,06,120,03,090,02,350,08,050,05,030,05,360,12,,360,12,,06
,27,360,12,360,12,010,15,020,08,020,04,300,10,040,05,050,05,,010,15,,09
,28,000,00,350,05,000,00,180,04,180,03,200,12,180,04,000,00,,200,12,,04
,29,000,00,000,00,090,04,180,05,210,07,210,08,210,06,020,05,,210,08,,05
,30,020,07,030,04,040,07,160,03,350,10,340,10,000,00,000,00,,350,10,,06
,31,070,05,030,04,040,04,070,05,000,00,180,10,180,06,200,03,,180,10,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,30,,
