,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,,,MES/AÑO,,2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,040,06,000,00,000,00,000,00,000,00,300,08,260,05,240,04,,300,08,,02
,2,200,06,180,08,180,08,200,05,000,00,200,08,180,07,000,00,,180,08,,07
,3,000,00,000,00,000,00,050,04,200,04,190,13,180,11,170,06,,190,13,,04
,4,020,04,000,00,000,00,000,00,180,12,190,20,180,14,160,07,,190,20,,06
,5,000,00,000,00,000,00,030,06,320,03,210,18,190,16,180,10,,210,18,,05
,6,180,04,000,00,000,00,000,00,220,03,190,08,180,10,180,07,,180,10,,04
,7,180,12,170,08,180,05,180,07,170,12,180,16,180,10,000,00,,180,16,,09
,8,190,05,090,04,180,12,180,09,180,10,180,16,190,10,180,13,,180,16,,10
,9,000,00,080,05,100,04,000,00,180,12,180,15,180,10,170,14,,180,15,,08
,10,000,00,180,00,000,00,180,05,190,08,200,16,200,16,310,03,,200,16,,04
,11,060,05,040,04,080,06,040,04,180,05,190,12,200,05,270,06,,190,12,,05
,12,000,00,000,00,080,08,190,06,180,17,180,17,180,11,180,12,,180,17,,10
,13,000,00,000,00,180,06,000,00,190,15,170,17,180,18,170,04,,180,18,,05
,14,080,03,000,00,000,00,200,05,020,04,180,20,180,20,190,08,,180,20,,05
,15,150,06,150,07,170,06,150,04,190,14,180,17,180,22,180,10,,180,22,,09
,16,130,06,160,06,120,06,170,08,180,15,180,16,180,18,180,08,,180,18,,08
,17,000,00,360,04,160,06,300,04,180,16,180,19,170,13,150,10,,180,19,,08
,18,000,00,170,17,150,04,010,03,180,15,180,16,160,11,150,08,,170,17,,10
,19,150,06,150,12,190,05,000,00,170,18,170,21,170,20,180,21,,170,21,,15
,20,160,05,000,00,000,00,000,00,190,13,180,19,180,14,150,06,,180,19,,06
,21,190,06,000,00,030,05,040,04,220,05,230,20,220,18,150,09,,230,20,,06
,22,000,00,180,05,180,07,000,00,180,10,180,19,180,16,000,00,,180,19,,06
,23,000,00,170,06,150,10,000,00,190,08,200,12,220,15,160,08,,220,15,,08
,24,000,00,000,00,000,00,080,04,220,09,210,11,170,15,160,09,,170,15,,07
,25,330,03,000,00,170,03,010,05,180,15,180,15,180,16,180,05,,180,16,,05
,26,000,00,000,00,000,00,360,03,180,10,180,21,180,20,170,15,,180,21,,07
,27,000,00,000,00,000,00,000,00,180,16,190,18,180,18,120,10,,190,18,,05
,28,000,00,000,00,000,00,000,00,180,16,180,20,180,06,200,07,,180,20,,03
,29,000,00,000,00,000,00,000,00,200,10,180,15,190,12,000,00,,180,15,,00
,30,000,00,000,00,000,00,000,00,350,06,300,07,240,09,180,06,,240,09,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,16,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,22,,
