,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,,,MES/AÑO,,OCTUBRE 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,030,05,070,10,330,10,180,12,050,11,000,00,000,00,000,00,,180,12,,08
,2,000,00,000,00,000,00,000,00,000,00,180,14,180,10,000,00,,180,14,,00
,3,040,06,180,07,000,00,000,00,030,05,320,06,000,00,000,00,,180,07,,03
,4,320,07,310,10,350,10,350,10,360,06,360,07,010,04,000,00,,310,10,,07
,5,000,00,000,00,000,00,000,00,200,13,160,09,180,11,160,18,,160,18,,05
,6,140,09,000,00,000,00,150,08,180,10,180,17,180,14,170,19,,170,19,,10
,7,160,07,000,00,000,00,000,00,180,15,180,12,180,17,000,00,,180,17,,04
,8,170,10,170,04,000,00,170,10,180,10,190,16,190,20,180,29,,180,29,,10
,9,150,10,000,00,000,00,000,00,210,11,180,19,180,20,000,00,,180,20,,05
,10,000,00,000,00,000,00,000,00,190,11,170,20,180,18,170,18,,170,20,,06
,11,000,00,000,00,000,00,000,00,190,07,180,10,180,16,160,09,,180,16,,04
,12,000,00,030,05,000,00,000,00,000,00,240,10,150,14,170,07,,150,14,,03
,13,270,07,000,00,000,00,050,06,330,06,280,04,300,15,330,12,,300,15,,06
,14,040,08,300,22,050,10,350,23,250,11,310,16,360,10,030,08,,350,23,,11
,15,060,08,090,08,090,07,030,04,190,10,180,16,180,11,000,00,,180,16,,08
,16,000,00,000,00,000,00,000,00,000,00,180,06,180,14,180,07,,180,14,,00
,17,000,00,000,00,000,00,000,00,000,00,180,14,180,10,300,07,,180,14,,00
,18,000,00,000,00,000,00,220,06,180,09,190,07,180,07,070,06,,180,09,,06
,19,000,00,330,06,070,06,280,10,280,24,270,13,300,05,350,04,,280,24,,06
,20,000,00,070,06,000,00,000,00,220,10,230,10,220,11,230,06,,220,11,,06
,21,000,00,000,00,000,00,000,00,180,15,180,12,180,18,180,07,,180,18,,04
,22,000,00,000,00,000,00,000,00,240,04,180,16,180,15,000,00,,180,16,,00
,23,000,00,000,00,000,00,000,00,190,08,230,07,220,07,060,06,,190,08,,03
,24,090,05,000,00,000,00,040,05,030,05,300,03,340,07,000,00,,340,07,,04
,25,000,00,040,06,050,08,070,08,230,10,190,15,190,16,180,05,,190,16,,08
,26,300,03,180,04,180,04,240,06,210,07,180,20,160,22,000,00,,160,22,,05
,27,180,09,000,00,150,06,000,00,180,09,190,07,180,10,180,10,,180,10,,08
,28,180,07,000,00,180,15,170,06,180,15,170,10,180,12,000,00,,180,15,,09
,29,000,00,000,00,000,00,000,00,180,17,180,15,180,13,170,04,,180,17,,02
,30,140,04,000,00,000,00,000,00,170,13,200,14,160,17,150,05,,160,17,,05
,31,140,03,000,00,150,06,000,00,180,12,180,18,180,10,180,10,,180,18,,08
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,16,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,29,,
