,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,FEBRERO 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,250,03,220,10,210,10,240,12,230,15,250,17,240,20,220,06,,240,20,,11
,2,210,07,220,10,210,08,060,04,240,13,240,19,240,13,220,14,,240,19,,12
,3,190,08,050,03,360,03,280,04,000,00,240,18,230,15,210,15,,240,18,,06
,4,000,00,000,00,000,00,000,00,270,05,240,15,240,22,240,16,,240,22,,03
,5,050,03,000,00,000,00,000,00,220,16,240,21,210,17,200,10,,240,21,,07
,6,190,08,040,03,000,00,350,02,240,06,240,15,240,18,240,12,,240,18,,07
,7,240,06,000,00,000,00,090,04,260,06,240,20,230,18,220,10,,240,20,,06
,8,020,04,060,02,220,04,080,05,240,12,240,16,240,11,230,15,,240,16,,08
,9,250,03,220,08,200,02,040,05,000,00,240,15,230,20,090,05,,230,20,,05
,10,000,00,050,00,000,00,050,05,340,03,260,08,250,18,240,15,,250,18,,04
,11,020,02,190,02,180,03,240,07,240,10,240,15,240,16,240,09,,240,16,,08
,12,000,00,000,00,000,00,280,03,020,02,340,04,240,08,240,07,,240,08,,03
,13,140,04,100,03,070,02,060,04,020,06,020,08,010,11,000,00,,010,11,,04
,14,240,08,000,00,200,04,000,00,240,06,300,03,240,10,240,07,,240,10,,05
,15,000,00,060,03,000,00,080,03,060,04,050,02,260,04,220,08,,220,08,,03
,16,240,02,000,00,150,04,100,03,240,08,240,18,240,15,240,07,,240,18,,06
,17,240,05,230,06,350,05,050,03,050,03,340,02,260,11,230,10,,260,11,,05
,18,180,03,240,04,240,06,000,00,000,00,260,03,270,06,230,08,,230,08,,04
,19,000,00,000,00,230,04,100,06,030,03,260,12,240,14,220,05,,240,14,,05
,20,200,03,220,06,000,00,000,00,300,02,250,09,210,10,230,06,,210,10,,05
,21,180,02,090,02,000,00,250,04,000,00,240,15,240,20,240,10,,240,20,,03
,22,220,04,000,00,090,04,000,00,320,04,270,09,240,15,150,07,,240,15,,04
,23,230,07,260,04,090,02,240,15,260,04,350,09,330,06,260,04,,240,15,,05
,24,130,04,200,05,220,02,000,00,350,07,020,10,010,07,360,07,,020,10,,06
,25,130,06,000,00,120,06,310,02,240,08,230,18,230,19,220,12,,230,19,,07
,26,340,05,000,00,150,04,260,03,260,04,240,05,240,10,060,05,,240,10,,05
,27,000,00,230,03,220,03,230,03,250,12,240,20,240,20,200,16,,240,20,,08
,28,240,06,210,06,220,05,250,05,270,06,260,08,240,20,000,00,,240,20,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,16,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,22,,
