,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,MARZO 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,240,06,220,09,210,08,180,02,050,08,330,12,270,06,250,03,,330,12,,07
,2,240,02,240,03,000,00,000,00,240,10,230,18,210,14,220,08,,230,18,,06
,3,000,00,130,04,000,00,240,02,230,10,240,19,240,14,240,10,,240,19,,07
,4,170,03,000,00,000,00,000,00,240,15,240,18,240,20,240,10,,240,20,,07
,5,000,00,000,00,000,00,240,06,000,00,240,20,240,14,240,05,,240,20,,03
,6,100,03,270,03,190,05,240,04,030,03,240,15,240,15,210,03,,240,15,,04
,7,200,02,010,02,000,00,090,04,240,04,210,18,220,14,240,07,,210,18,,04
,8,000,00,120,03,100,04,000,00,260,17,240,13,200,22,050,08,,200,22,,06
,9,170,06,180,03,040,04,230,06,230,03,240,19,240,22,200,08,,240,22,,06
,10,000,00,000,12,000,00,000,00,030,03,240,15,240,16,040,03,,240,16,,03
,11,240,06,000,00,000,00,000,00,090,03,240,12,240,14,020,06,,240,14,,05
,12,000,00,000,00,020,02,020,02,020,03,260,08,240,10,030,03,,240,10,,03
,13,150,06,000,00,250,08,030,04,040,02,340,05,250,04,240,06,,250,08,,05
,14,240,08,190,07,220,02,220,12,230,10,240,15,230,20,210,09,,230,20,,10
,15,220,05,240,05,240,04,110,02,280,05,240,12,220,14,060,05,,220,14,,05
,16,050,03,090,04,070,02,000,00,000,00,250,23,240,20,240,02,,250,23,,03
,17,000,00,240,03,100,06,000,00,360,04,150,03,220,15,000,00,,220,15,,03
,18,000,00,000,00,070,04,030,02,060,08,320,04,270,09,240,08,,270,09,,04
,19,000,00,000,00,000,00,160,06,010,04,240,10,240,15,240,05,,240,15,,05
,20,030,03,280,02,020,04,090,05,000,00,270,08,240,06,000,00,,270,08,,04
,21,090,05,090,06,090,02,080,05,360,02,120,02,230,07,050,06,,230,07,,05
,22,110,04,100,03,000,00,090,02,040,06,030,05,020,08,040,05,,020,08,,05
,23,090,03,110,03,070,04,060,04,020,05,010,05,350,03,240,09,,240,09,,04
,24,220,06,240,03,000,00,240,03,270,02,300,02,240,07,240,06,,240,07,,03
,25,230,06,220,09,180,06,240,03,340,02,270,05,340,04,050,03,,220,09,,05
,26,350,07,000,00,050,03,030,05,350,07,350,07,260,05,290,03,,350,07,,05
,27,000,00,110,02,000,00,000,00,050,03,340,06,330,06,240,06,,340,06,,03
,28,000,00,090,02,090,02,000,00,000,00,250,12,240,11,240,08,,250,12,,02
,29,000,00,120,05,110,07,090,09,050,04,010,10,310,10,020,10,,010,10,,08
,30,010,06,250,03,240,18,210,08,210,17,240,22,240,17,190,10,,240,22,,14
,31,160,02,000,00,110,02,270,02,250,05,230,13,240,12,250,03,,230,13,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,23,,
