,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,JUNIO,,JUNIO 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,100,05,090,06,200,05,090,02,300,02,240,03,000,00,090,04,,090,06,,04
,2,220,03,110,09,030,02,090,05,000,00,240,07,120,06,120,08,,110,09,,06
,3,090,06,020,07,100,10,020,15,010,19,350,22,350,30,270,12,,350,30,,14
,4,110,06,090,05,090,09,120,06,090,05,350,08,000,00,000,00,,090,09,,06
,5,000,00,160,02,110,08,140,02,270,05,230,13,240,10,120,02,,230,13,,04
,6,020,02,120,03,100,02,120,08,060,05,010,16,360,23,340,17,,360,23,,07
,7,030,06,090,10,140,12,120,11,030,14,030,06,360,10,030,09,,030,14,,10
,8,360,10,010,08,010,10,010,16,010,15,020,12,020,07,020,10,,010,16,,10
,9,030,08,000,00,020,04,020,05,000,00,250,07,240,08,000,00,,030,08,,05
,10,000,00,050,04,240,03,050,03,300,05,030,08,010,06,040,12,,040,12,,05
,11,060,06,030,19,030,15,030,20,020,19,360,19,260,05,070,10,,030,20,,17
,12,090,11,130,06,150,08,110,07,080,06,080,05,130,10,150,10,,090,11,,08
,13,200,02,100,03,090,03,130,07,080,02,260,04,220,03,090,03,,130,07,,03
,14,000,00,100,03,100,02,240,04,130,03,120,05,240,07,000,00,,240,07,,03
,15,000,00,270,03,000,00,000,00,000,00,240,04,240,06,180,04,,240,06,,02
,16,070,04,060,02,000,00,000,00,240,02,240,13,220,08,200,11,,240,13,,03
,17,240,03,240,04,250,02,000,00,000,00,000,00,100,05,090,10,,090,10,,03
,18,050,03,040,06,120,05,090,08,070,04,040,06,070,04,040,06,,090,08,,06
,19,040,05,080,06,060,06,050,04,050,09,050,08,030,10,360,06,,030,10,,06
,20,030,05,030,04,000,00,100,06,080,06,340,02,290,04,010,03,,100,06,,04
,21,330,03,020,09,030,07,070,07,090,08,040,15,010,08,310,03,,040,15,,08
,22,110,04,100,08,120,08,260,02,030,03,230,13,240,08,210,06,,230,13,,07
,23,030,03,000,00,000,00,040,02,000,00,240,08,240,15,220,04,,240,15,,03
,24,180,03,000,00,090,04,130,03,260,02,020,02,270,03,240,02,,090,04,,03
,25,000,00,210,03,240,02,160,05,220,08,240,11,220,10,220,11,,240,11,,07
,26,160,02,000,00,090,02,000,00,230,04,240,12,220,11,210,18,,210,18,,03
,27,000,00,000,00,030,02,040,10,300,02,210,14,210,11,160,04,,210,14,,03
,28,110,05,040,05,060,06,110,06,090,03,270,05,210,08,000,00,,210,08,,05
,29,000,00,120,06,100,06,000,00,270,03,240,04,240,05,140,03,,120,06,,04
,30,030,02,030,02,050,08,040,05,080,06,080,04,080,05,090,06,,050,08,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,30,,
