,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,AGOSTO 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,000,00,120,06,110,03,080,06,270,05,230,11,200,15,,200,15,,06
,2,120,08,160,05,120,05,210,06,270,03,240,15,240,13,240,07,,240,15,,07
,3,240,05,130,04,140,06,130,06,060,05,000,00,240,08,240,07,,240,08,,06
,4,240,07,100,03,000,00,000,00,000,00,240,14,250,22,270,04,,250,22,,04
,5,270,06,010,04,040,06,000,00,240,13,230,10,230,05,200,03,,240,13,,06
,6,999,03,320,03,050,02,120,03,120,06,270,03,140,02,000,00,,120,06,,03
,7,270,02,360,07,040,15,040,15,040,12,350,15,350,09,000,00,,040,15,,11
,8,140,06,150,03,240,03,270,02,240,07,250,11,230,16,220,14,,230,16,,07
,9,060,04,140,03,010,04,080,03,230,11,220,14,200,11,240,05,,220,14,,05
,10,040,03,100,00,070,03,100,03,210,06,240,16,230,10,270,03,,240,16,,03
,11,310,03,140,02,000,00,030,02,000,00,000,00,240,05,220,04,,240,05,,02
,12,000,00,000,00,160,04,000,00,240,08,240,15,240,22,230,20,,240,22,,06
,13,240,08,000,00,220,04,060,04,230,18,220,10,230,16,220,10,,230,18,,09
,14,040,02,040,03,000,00,260,04,240,04,240,14,240,18,240,06,,240,18,,04
,15,100,04,110,07,100,07,080,04,080,05,000,00,240,15,000,00,,240,15,,05
,16,240,03,000,00,000,00,260,03,000,00,040,02,240,07,130,04,,240,07,,03
,17,000,00,260,03,250,04,000,00,040,03,060,04,000,00,340,03,,250,04,,03
,18,100,05,090,07,030,07,060,08,040,07,020,06,010,02,240,05,,060,08,,07
,19,240,02,250,05,000,00,140,05,240,09,240,10,240,18,240,17,,240,18,,07
,20,240,10,000,00,000,00,190,07,270,03,060,05,240,12,070,03,,240,12,,04
,21,000,00,000,00,000,00,040,04,050,03,240,20,240,10,270,05,,240,20,,04
,22,220,10,050,05,110,03,250,04,240,04,240,15,240,12,200,10,,240,15,,08
,23,240,05,090,05,170,04,014,05,030,03,240,08,030,03,300,02,,240,08,,05
,24,270,03,090,04,100,05,090,03,060,06,270,05,240,15,000,00,,240,15,,05
,25,120,02,000,00,000,00,120,06,000,00,270,10,010,07,240,07,,270,10,,04
,26,100,03,220,03,000,00,260,03,320,02,230,15,220,10,240,02,,230,15,,03
,27,350,03,210,04,020,03,040,02,260,05,250,10,220,15,000,00,,220,15,,04
,28,240,08,000,00,190,03,000,00,000,00,080,14,090,10,050,10,,080,14,,06
,29,060,05,010,06,060,10,040,10,040,07,340,06,250,03,260,03,,060,10,,06
,30,280,01,360,02,000,00,280,03,360,02,150,04,040,04,000,00,,150,04,,02
,31,140,03,150,02,160,03,140,06,260,10,250,11,240,12,000,00,,240,12,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,13,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,22,,
