,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,AGOSTO 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,030,03,060,06,000,00,030,04,300,05,030,04,030,06,,060,06,,04
,2,050,05,080,06,030,03,090,06,170,06,160,07,000,00,000,00,,160,07,,06
,3,000,00,000,00,010,04,000,00,180,13,030,03,020,07,000,00,,180,13,,02
,4,030,04,000,00,030,05,030,05,050,13,070,03,180,07,030,07,,050,13,,05
,5,190,09,040,22,010,14,120,10,350,07,040,18,050,13,350,20,,040,22,,14
,6,030,12,020,22,000,28,000,32,020,27,300,15,350,07,350,08,,000,32,,19
,7,040,04,000,00,050,06,070,05,050,08,050,10,040,06,360,15,,360,15,,06
,8,360,25,310,40,030,35,020,35,350,30,330,32,310,25,300,30,,310,40,,31
,9,290,29,310,22,280,16,270,09,040,06,360,02,240,02,240,02,,290,29,,08
,10,090,02,220,06,000,00,220,10,000,00,180,09,180,12,000,00,,180,12,,04
,11,000,00,000,00,000,00,000,00,240,05,200,10,180,15,150,10,,180,15,,03
,12,000,00,000,00,000,00,060,04,000,00,000,00,000,00,000,00,,060,04,,00
,13,000,00,000,00,000,00,000,00,000,00,200,13,180,12,170,10,,200,13,,00
,14,000,00,170,06,000,00,000,00,000,00,000,00,200,07,070,05,,200,07,,00
,15,180,06,000,00,000,00,000,00,000,00,180,15,180,10,290,05,,180,15,,03
,16,000,00,170,04,070,04,000,00,180,14,210,10,210,05,270,05,,180,14,,05
,17,000,00,000,00,000,00,000,00,000,00,320,04,190,08,150,05,,190,08,,00
,18,000,00,000,00,000,00,000,00,000,00,180,13,180,13,170,08,,180,13,,00
,19,000,00,040,06,050,03,000,00,350,07,350,16,340,15,020,03,,350,16,,05
,20,090,06,080,07,000,00,350,07,350,05,000,00,000,00,000,00,,080,07,,03
,21,340,04,350,06,340,05,300,09,330,17,330,11,320,15,270,09,,330,17,,09
,22,000,00,000,00,030,06,000,00,000,00,230,27,170,15,000,00,,230,27,,00
,23,000,00,300,03,040,04,000,00,000,00,000,00,160,10,090,03,,160,10,,02
,24,000,00,000,00,000,00,000,00,000,00,230,06,180,05,180,06,,230,06,,00
,25,090,06,000,00,330,07,300,11,350,13,330,09,340,08,320,06,,350,13,,08
,26,350,09,010,06,060,08,000,00,000,00,180,10,180,07,000,00,,180,10,,07
,27,000,00,190,04,090,05,180,06,160,15,000,00,240,07,000,00,,160,15,,05
,28,070,13,000,00,000,00,000,00,000,00,180,14,200,15,030,06,,200,15,,03
,29,040,05,190,05,000,00,060,04,000,00,190,05,180,10,000,00,,180,10,,05
,30,000,00,000,00,000,00,000,00,000,00,180,11,170,09,160,12,,160,12,,00
,31,100,15,000,00,000,00,000,00,190,07,170,16,210,08,180,04,,170,16,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,15,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,40,,
