,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,030,13,030,17,010,29,020,21,010,14,350,19,350,13,010,09,,010,29,,16
,2,000,03,000,00,120,05,000,00,270,03,250,06,260,07,360,03,,260,07,,03
,3,320,04,090,05,120,12,240,10,120,06,060,05,260,05,150,06,,120,12,,06
,4,120,03,120,10,150,08,120,07,360,08,290,02,090,06,040,05,,120,10,,07
,5,060,07,110,08,120,06,110,05,010,04,350,06,330,07,050,02,,110,08,,06
,6,120,06,150,08,110,10,100,06,290,03,030,02,240,10,150,05,,110,10,,06
,7,100,09,000,00,000,00,090,03,030,03,000,00,240,07,120,05,,100,09,,03
,8,000,00,240,05,240,12,000,00,240,12,240,14,240,12,240,18,,240,18,,12
,9,240,08,240,03,220,08,220,12,200,15,230,10,270,06,270,02,,200,15,,08
,10,150,06,000,07,000,00,000,00,260,05,220,14,230,15,200,03,,230,15,,06
,11,000,00,120,02,120,05,120,04,330,03,240,07,240,16,140,03,,240,16,,04
,12,120,03,100,03,120,05,120,05,330,03,240,10,240,08,240,05,,240,10,,05
,13,000,00,360,05,050,07,090,08,120,07,340,06,050,03,000,00,,090,08,,06
,14,170,05,150,08,190,05,000,00,250,07,240,14,220,09,250,04,,240,14,,06
,15,240,03,000,00,080,04,000,00,300,02,280,02,150,02,080,06,,080,06,,02
,16,000,00,020,04,070,10,030,08,040,04,000,00,250,05,210,05,,070,10,,05
,17,190,02,000,00,290,03,240,06,010,08,000,00,260,04,210,04,,010,08,,04
,18,000,00,130,03,270,03,120,03,050,05,240,11,240,12,240,10,,240,12,,04
,19,000,00,000,00,000,00,210,07,100,08,230,15,230,18,220,08,,230,18,,08
,20,000,00,030,04,000,00,080,04,240,04,230,15,220,09,230,09,,230,15,,04
,21,070,05,230,03,200,04,230,05,220,11,120,05,240,07,230,16,,230,16,,05
,22,220,05,220,07,180,10,090,04,240,11,240,10,270,05,230,12,,230,12,,09
,23,180,05,000,00,000,00,090,03,240,03,240,07,240,14,000,00,,240,14,,03
,24,030,03,000,00,000,00,000,00,270,02,240,13,230,14,230,06,,230,14,,03
,25,150,06,130,09,120,08,050,06,000,00,260,10,260,10,200,05,,260,10,,07
,26,000,00,010,04,070,05,000,00,240,03,220,16,220,10,090,03,,220,16,,04
,27,230,10,120,06,120,05,050,02,000,00,240,08,240,10,000,00,,230,10,,06
,28,000,00,000,00,130,03,250,03,250,14,250,13,220,18,220,11,,220,18,,07
,29,050,04,000,00,240,07,250,03,230,10,220,08,040,03,220,05,,230,10,,05
,30,030,02,200,02,000,00,130,05,240,13,260,03,230,03,030,02,,240,13,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,13,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,18,,
