,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,OCTUBRE 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,220,08,160,03,130,03,000,00,240,12,240,16,240,20,240,10,,240,20,,09
,2,170,03,140,03,180,05,100,03,340,04,280,03,240,10,240,10,,240,10,,04
,3,240,04,000,00,000,00,110,03,230,10,240,22,240,17,260,08,,240,22,,06
,4,230,15,040,05,000,00,000,00,000,00,230,16,220,27,070,06,,220,27,,06
,5,240,07,210,04,000,00,000,00,020,03,250,22,240,17,160,03,,250,22,,04
,6,280,03,000,00,090,03,030,05,030,08,030,04,010,03,000,00,,030,08,,03
,7,260,03,000,00,240,04,240,04,240,12,250,16,240,15,240,08,,250,16,,06
,8,090,04,000,00,250,02,000,00,240,10,240,20,240,15,240,03,,240,20,,04
,9,230,10,020,03,000,00,300,03,250,10,240,17,260,15,250,12,,240,17,,10
,10,250,08,030,07,270,03,030,02,240,11,240,26,240,12,240,08,,240,26,,08
,11,240,06,240,05,000,00,040,05,230,06,240,24,230,20,250,11,,240,24,,06
,12,220,09,200,05,240,10,250,03,240,08,240,15,230,15,230,06,,240,15,,09
,13,220,08,240,05,230,02,220,03,240,07,240,04,240,15,230,07,,240,15,,06
,14,320,03,030,03,000,00,000,00,280,07,250,04,240,16,240,07,,240,16,,04
,15,100,03,000,00,100,04,090,08,040,06,040,03,000,00,000,00,,090,08,,03
,16,240,04,240,04,260,05,000,00,290,03,300,04,240,05,000,00,,260,05,,04
,17,230,06,000,00,130,06,000,00,250,09,250,14,250,10,270,04,,250,14,,06
,18,000,00,150,05,040,03,030,02,250,09,240,06,240,13,080,06,,240,13,,06
,19,000,00,240,05,160,04,130,03,350,02,350,03,000,00,350,02,,240,05,,03
,20,130,06,110,06,080,05,120,06,035,04,000,00,350,04,110,04,,130,06,,05
,21,190,06,130,04,000,00,000,00,240,10,240,20,230,10,220,10,,240,20,,08
,22,000,00,240,08,170,02,220,07,230,13,240,17,250,13,220,16,,240,17,,11
,23,240,05,190,09,130,04,040,05,240,10,240,20,240,18,240,05,,240,20,,07
,24,000,00,000,00,140,02,050,03,260,05,240,11,230,11,000,00,,240,11,,03
,25,000,00,270,02,030,02,360,03,280,03,280,07,260,13,240,07,,260,13,,03
,26,000,00,000,00,000,00,000,00,240,10,100,04,240,15,000,00,,240,15,,00
,27,040,03,260,03,120,03,040,03,030,03,020,03,060,04,070,06,,070,06,,03
,28,050,07,040,08,010,10,020,12,020,11,030,04,040,03,280,07,,020,12,,08
,29,000,00,000,00,000,00,000,00,280,02,260,10,240,10,230,08,,260,10,,01
,30,000,00,000,00,000,00,000,00,000,00,350,04,300,07,020,04,,300,07,,00
,31,020,02,060,07,020,07,030,08,010,08,030,03,260,03,240,13,,240,13,,07
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,15,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,27,,
