,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,010,02,000,00,280,03,320,03,240,13,260,18,240,14,180,07,,260,18,,05
,2,200,12,240,08,240,06,030,03,220,14,240,16,230,12,220,15,,240,16,,12
,3,220,05,040,05,020,03,020,03,240,04,240,15,210,18,250,03,,210,18,,05
,4,000,00,030,03,000,00,000,00,270,05,260,15,240,17,000,00,,240,17,,02
,5,250,03,000,00,140,03,030,04,230,15,240,23,220,14,240,06,,240,23,,05
,6,230,10,000,00,000,00,020,02,220,10,220,19,220,15,150,08,,220,19,,09
,7,000,00,020,03,150,03,260,03,230,18,220,10,240,29,240,12,,240,29,,07
,8,190,02,000,00,000,00,030,03,VRB,02,240,23,230,18,110,04,,240,23,,03
,9,240,06,270,03,270,03,000,00,250,08,240,20,240,25,240,10,,240,25,,07
,10,180,05,190,03,180,07,190,03,240,08,230,17,230,15,240,08,,230,17,,08
,11,210,06,200,06,220,03,240,05,240,06,250,25,210,20,250,08,,250,25,,06
,12,200,02,020,02,100,02,360,04,230,15,240,20,240,12,230,10,,240,20,,07
,13,120,03,090,03,100,02,000,00,000,00,210,13,220,29,210,07,,220,29,,03
,14,000,00,040,08,030,08,090,05,030,09,020,04,240,12,150,05,,240,12,,07
,15,020,04,000,00,020,07,090,05,010,04,280,06,270,10,240,06,,270,10,,06
,16,240,09,000,00,360,04,270,03,270,03,280,02,260,06,240,05,,240,09,,04
,17,240,02,000,00,020,03,350,06,020,05,050,05,240,10,240,08,,240,10,,05
,18,240,05,240,04,270,04,240,05,250,07,240,05,220,10,220,08,,220,10,,05
,19,210,06,220,08,040,04,230,09,240,20,240,18,230,16,240,02,,240,20,,09
,20,230,05,210,10,160,02,240,05,240,10,250,10,240,20,200,10,,240,20,,10
,21,210,05,170,02,170,04,050,02,230,15,230,24,250,20,210,08,,230,24,,07
,22,310,03,240,04,000,00,250,03,240,10,240,15,230,15,240,12,,240,15,,07
,23,200,07,180,08,170,05,200,05,230,16,240,16,240,14,220,16,,230,16,,11
,24,010,02,230,10,190,03,200,07,240,15,230,14,230,17,210,07,,230,17,,09
,25,190,04,200,08,180,05,000,00,340,03,260,15,240,21,250,05,,240,21,,05
,26,000,00,120,03,050,04,240,06,240,08,230,15,220,09,150,07,,230,15,,07
,27,150,04,100,05,150,06,110,03,240,10,230,15,250,18,200,06,,250,18,,06
,28,240,02,220,07,210,06,200,07,240,15,240,23,230,14,230,14,,240,23,,11
,29,210,10,000,00,230,05,120,03,210,08,230,14,230,08,230,12,,230,14,,08
,30,080,05,260,04,000,00,030,03,220,16,220,20,240,18,080,06,,220,20,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,18,,07
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,29,,
