,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,,,MES/AÑO,,DICIEMBRE 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,160,04,160,10,190,10,180,04,200,08,190,08,190,14,180,10,,190,14,,09
,2,170,08,170,06,160,08,130,07,260,04,200,09,200,14,180,14,,200,14,,08
,3,000,00,000,00,000,00,000,00,180,08,180,15,180,24,180,09,,180,24,,04
,4,000,00,000,00,000,00,000,00,000,00,190,12,180,16,000,00,,180,16,,00
,5,000,00,000,00,000,00,000,00,190,07,190,18,190,16,180,14,,190,18,,04
,6,150,07,120,04,120,05,190,06,180,12,190,17,170,24,170,07,,170,24,,07
,7,170,05,000,00,000,00,000,00,180,07,190,13,180,19,180,10,,180,19,,06
,8,170,05,180,06,000,00,350,05,210,07,210,10,190,18,000,00,,190,18,,06
,9,090,04,000,00,070,06,030,06,360,05,250,06,190,07,000,00,,190,07,,06
,10,000,00,040,00,000,00,040,10,000,00,210,04,220,09,190,06,,040,10,,02
,11,050,02,000,00,000,00,000,00,000,00,350,04,020,07,190,05,,020,07,,01
,12,180,06,180,04,160,10,170,06,190,10,190,12,190,16,210,10,,190,16,,10
,13,000,00,170,06,000,00,000,00,300,04,190,03,200,11,190,09,,200,11,,04
,14,000,00,000,00,000,00,000,00,180,15,170,22,160,16,170,10,,170,22,,05
,15,160,04,000,00,000,00,000,00,240,08,180,06,180,21,190,06,,180,21,,05
,16,030,05,080,06,000,00,000,00,220,06,210,08,190,09,190,14,,190,14,,06
,17,000,00,000,00,000,00,000,00,240,04,240,20,200,23,170,09,,200,23,,02
,18,180,05,000,00,000,00,000,00,180,17,180,20,190,15,150,02,,180,20,,04
,19,150,08,000,00,000,00,020,05,000,00,190,09,190,10,180,10,,190,10,,07
,20,160,11,000,00,000,00,190,05,200,04,220,08,200,14,200,08,,200,14,,07
,21,000,00,100,04,150,04,080,04,190,14,180,18,160,19,180,18,,160,19,,09
,22,000,00,000,00,000,00,000,00,170,16,230,18,190,22,160,06,,190,22,,03
,23,170,07,300,04,160,07,000,00,180,18,180,20,180,20,230,12,,180,20,,10
,24,000,00,000,00,000,00,000,00,000,00,200,19,180,17,000,00,,200,19,,00
,25,150,03,000,00,000,00,000,00,180,09,190,15,180,17,180,06,,180,17,,05
,26,000,00,130,03,150,04,180,06,180,13,190,12,190,20,170,10,,190,20,,08
,27,160,10,000,00,170,05,000,00,240,08,190,18,180,16,190,12,,190,18,,09
,28,000,00,000,00,000,00,180,07,000,00,190,10,200,13,000,10,,200,13,,04
,29,180,07,000,00,000,00,000,00,000,00,240,08,240,10,180,12,,180,12,,04
,30,000,00,150,05,180,04,000,00,190,13,190,18,170,17,180,06,,190,18,,06
,31,350,03,000,00,000,00,000,00,210,10,240,10,190,15,190,13,,190,15,,07
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,17,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,24,,
