,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,000,00,190,03,090,02,000,00,240,08,240,11,000,00,,240,11,,01
,2,160,04,260,05,090,02,240,05,240,10,240,18,240,23,000,00,,240,23,,05
,3,000,00,240,05,280,02,000,00,010,04,280,03,330,05,000,00,,240,05,,03
,4,100,02,090,04,030,02,060,06,060,05,300,05,260,07,240,11,,240,11,,05
,5,000,00,000,00,000,00,000,00,240,11,240,17,240,15,240,05,,240,17,,03
,6,240,09,240,02,000,00,270,02,220,10,240,25,240,20,050,05,,240,25,,07
,7,190,02,270,03,130,04,090,02,290,03,240,15,250,15,190,03,,240,15,,03
,8,000,00,000,00,230,03,090,04,030,03,070,05,090,05,030,03,,070,05,,03
,9,040,06,000,04,030,07,020,03,050,09,040,08,320,02,260,08,,050,09,,07
,10,180,02,150,02,240,06,150,10,030,06,250,13,250,22,000,00,,250,22,,06
,11,000,00,270,02,350,02,230,05,240,10,240,20,230,17,270,03,,240,20,,04
,12,350,05,260,02,000,00,000,00,260,08,240,20,240,15,000,00,,240,20,,04
,13,000,00,000,00,000,00,000,00,270,04,240,10,240,18,180,02,,240,18,,01
,14,000,00,000,00,000,00,120,02,270,03,360,02,040,05,090,08,,090,08,,02
,15,030,07,040,05,120,04,030,05,000,00,360,02,090,04,080,06,,030,07,,05
,16,290,03,190,03,130,05,000,00,240,03,260,08,260,14,000,00,,260,14,,03
,17,000,00,000,00,090,10,090,04,000,00,280,04,280,03,000,00,,090,10,,02
,18,000,00,240,04,170,02,100,04,080,06,320,02,260,05,160,05,,080,06,,04
,19,230,02,130,06,100,06,040,06,040,10,080,07,060,04,060,03,,040,10,,06
,20,070,09,100,08,120,09,130,10,020,03,030,04,000,00,000,00,,130,10,,06
,21,000,00,000,00,160,03,000,00,310,03,230,11,240,12,000,00,,240,12,,02
,22,130,05,240,05,000,00,000,00,000,00,240,10,180,10,030,07,,240,10,,05
,23,150,03,070,02,000,00,030,03,010,03,270,08,120,03,030,03,,270,08,,03
,24,010,02,000,00,300,03,030,03,270,04,260,08,240,05,030,03,,260,08,,03
,25,270,02,000,00,180,08,000,00,290,05,280,06,250,12,240,09,,250,12,,06
,26,150,05,050,03,000,00,060,06,090,03,360,04,270,06,100,07,,100,07,,05
,27,000,00,270,03,260,02,000,00,240,13,240,13,240,16,020,03,,240,16,,03
,28,020,02,100,08,120,02,100,02,020,03,280,04,240,10,000,00,,240,10,,03
,29,000,00,000,00,260,03,170,07,000,00,240,12,240,12,240,05,,240,12,,04
,30,000,00,180,04,240,03,240,04,250,04,070,04,300,01,150,08,,150,08,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,
