,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,ABRIL,,ABRIL 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,160,06,150,02,150,04,000,00,240,06,250,11,220,10,000,00,,250,11,,05
,2,140,03,000,00,130,03,000,00,270,07,230,18,240,18,000,00,,230,18,,03
,3,000,00,180,04,120,04,120,02,220,14,220,17,220,17,210,04,,220,17,,04
,4,000,00,000,00,000,00,000,00,240,16,240,20,220,14,220,06,,240,20,,03
,5,170,04,000,00,000,00,020,02,280,02,240,13,240,15,200,10,,240,15,,03
,6,000,00,150,08,140,05,130,06,060,05,320,06,270,09,220,08,,270,09,,06
,7,120,04,150,04,120,05,110,09,350,02,250,10,260,07,220,05,,250,10,,05
,8,110,06,260,03,240,05,270,02,190,07,240,16,240,17,240,06,,240,17,,06
,9,240,03,200,04,000,00,240,06,240,18,230,20,230,25,220,14,,230,25,,10
,10,240,04,250,04,240,07,250,02,230,15,230,15,210,18,190,10,,210,18,,09
,11,040,02,180,07,060,03,000,00,240,10,240,15,240,15,240,10,,240,15,,09
,12,240,10,210,05,180,03,240,03,230,08,220,18,240,16,150,14,,220,18,,09
,13,000,00,000,00,000,00,290,02,240,02,220,21,240,08,220,02,,220,21,,02
,14,120,07,280,04,270,03,090,02,060,08,060,04,090,02,060,05,,060,08,,04
,15,010,02,180,03,030,04,000,00,270,02,000,00,240,07,090,02,,240,07,,02
,16,000,00,000,00,160,04,230,03,270,03,250,15,220,15,220,11,,250,15,,04
,17,190,03,090,04,060,02,040,02,240,02,220,14,220,16,230,11,,220,16,,04
,18,120,05,000,00,110,02,070,04,350,02,220,16,230,15,230,04,,220,16,,04
,19,100,03,090,03,000,00,000,00,030,03,260,10,240,16,150,02,,240,16,,03
,20,120,06,000,00,000,00,000,00,050,04,210,19,210,17,050,06,,210,19,,05
,21,160,05,020,03,000,00,240,02,240,14,220,17,220,14,010,03,,220,17,,04
,22,060,03,000,00,050,03,060,03,030,06,010,04,340,02,040,04,,030,06,,03
,23,090,03,090,02,110,02,010,09,060,09,040,02,020,03,280,02,,010,09,,03
,24,200,04,110,05,000,00,260,03,020,03,350,05,240,04,240,04,,110,05,,04
,25,120,03,000,00,000,00,000,00,020,08,030,07,010,11,350,03,,010,11,,03
,26,090,03,090,05,090,09,100,08,030,03,030,07,240,08,240,10,,240,10,,08
,27,240,03,110,05,100,04,120,02,240,10,240,15,240,16,270,02,,240,16,,05
,28,020,05,000,00,150,03,000,00,300,02,240,13,220,12,240,04,,240,13,,04
,29,070,02,000,00,000,00,260,02,030,04,240,16,240,13,160,03,,240,16,,03
,30,000,00,070,02,100,09,110,07,060,03,340,04,060,04,240,06,,100,09,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,
