,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,CENMETEOVALP,,,,,MES/AÑO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,090,03,100,03,000,00,340,03,240,08,240,13,240,10,,240,13,,03
,2,250,05,000,00,000,00,000,00,340,03,240,10,230,18,210,08,,230,18,,04
,3,210,07,350,03,070,04,000,00,280,03,230,15,220,10,360,04,,230,15,,04
,4,100,03,030,06,180,06,180,04,250,03,240,17,240,16,000,00,,240,17,,05
,5,150,05,260,04,240,09,060,04,000,00,280,03,270,04,270,03,,240,09,,04
,6,000,00,170,06,100,05,100,04,040,02,300,04,300,03,000,00,,170,06,,04
,7,030,05,090,04,090,08,240,05,360,02,270,06,270,19,200,06,,270,19,,06
,8,200,04,000,00,060,04,150,05,250,05,240,20,210,20,300,03,,240,20,,05
,9,330,05,000,00,000,00,000,00,270,04,240,25,240,15,340,04,,240,25,,04
,10,150,04,240,00,000,00,240,03,000,00,240,17,240,16,240,13,,240,17,,04
,11,000,00,030,03,030,06,090,08,030,10,000,10,040,04,040,02,,030,10,,05
,12,000,00,000,00,280,03,000,00,160,03,060,06,000,00,000,00,,060,06,,00
,13,000,00,000,00,200,04,000,00,240,08,230,05,240,08,210,06,,240,08,,05
,14,000,00,240,03,240,04,000,00,240,07,240,20,240,12,060,02,,240,20,,04
,15,000,00,000,00,000,00,070,02,240,12,230,15,220,14,000,00,,230,15,,01
,16,000,00,000,00,000,00,000,00,240,14,240,20,240,15,240,05,,240,20,,03
,17,000,00,000,00,000,00,000,00,000,00,240,10,230,08,000,00,,240,10,,00
,18,110,04,000,00,000,00,260,06,000,00,210,08,230,15,070,05,,230,15,,05
,19,100,10,090,08,120,10,150,08,240,03,240,11,240,15,240,05,,240,15,,09
,20,240,06,070,02,130,07,150,04,240,06,000,00,000,00,090,08,,090,08,,05
,21,090,02,150,03,090,03,100,07,270,03,240,13,240,15,240,05,,240,15,,04
,22,090,05,000,00,130,07,000,00,000,00,240,10,230,05,000,00,,240,10,,03
,23,120,05,000,00,000,00,090,04,030,05,020,05,350,04,110,03,,120,05,,04
,24,150,04,030,03,100,05,140,03,100,03,070,03,000,23,240,04,,000,23,,04
,25,120,06,000,00,000,00,100,03,140,07,040,11,010,11,010,08,,040,11,,07
,26,110,05,000,00,100,04,100,05,000,00,250,12,220,15,090,03,,220,15,,05
,27,000,00,100,07,000,00,180,05,000,00,260,11,240,12,000,00,,240,12,,03
,28,120,05,090,05,090,04,000,00,030,03,000,00,220,10,360,05,,220,10,,05
,29,080,05,000,00,000,00,250,03,340,02,220,17,240,23,210,15,,240,23,,04
,30,210,03,080,03,270,03,060,05,270,04,090,05,130,03,000,00,,060,05,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,
