,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,FEBRERO 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,160,02,020,03,020,02,050,02,060,03,240,11,220,23,110,02,,220,23,,03
,2,000,00,000,00,000,00,050,09,040,07,320,07,230,11,240,09,,230,11,,07
,3,240,05,120,03,230,04,220,10,230,14,240,15,230,19,230,11,,230,19,,11
,4,230,06,220,06,210,05,110,03,000,00,250,08,240,16,220,10,,240,16,,06
,5,240,13,240,02,210,03,060,12,060,04,300,05,250,18,230,16,,250,18,,09
,6,210,03,000,00,030,06,060,13,090,05,320,02,250,11,220,10,,060,13,,06
,7,180,03,230,03,090,02,050,09,030,03,260,09,250,20,220,14,,250,20,,06
,8,080,05,240,08,000,00,210,05,250,10,250,17,240,20,250,09,,240,20,,09
,9,180,05,000,00,000,00,050,06,090,06,270,05,090,05,240,09,,240,09,,05
,10,240,08,250,04,070,03,250,02,350,02,240,06,240,07,060,02,,240,08,,04
,11,030,02,070,02,000,00,300,02,080,02,270,08,240,12,090,04,,240,12,,02
,12,000,00,260,02,000,00,000,00,260,05,210,07,090,02,130,08,,130,08,,02
,13,250,03,000,00,000,00,080,06,050,04,260,06,250,10,240,05,,250,10,,05
,14,200,02,120,02,060,10,040,02,020,10,010,07,330,05,270,03,,060,10,,04
,15,000,00,000,00,000,00,040,04,090,03,020,04,250,04,250,06,,250,06,,04
,16,090,03,210,10,230,05,000,00,320,02,060,04,270,08,240,11,,240,11,,05
,17,030,03,080,04,210,05,060,02,040,02,260,04,240,12,230,15,,230,15,,04
,18,180,09,110,03,150,06,160,04,240,15,240,12,240,10,240,09,,240,15,,09
,19,160,03,030,02,000,00,080,03,080,03,330,04,090,05,250,08,,250,08,,03
,20,250,02,050,02,000,00,120,03,050,04,010,02,300,02,000,00,,050,04,,02
,21,280,03,050,03,030,04,000,00,060,03,240,07,240,10,240,07,,240,10,,04
,22,090,05,050,02,010,02,030,02,240,09,240,13,240,21,240,08,,240,21,,07
,23,080,04,250,04,150,02,040,03,010,02,280,07,240,08,240,03,,240,08,,04
,24,270,03,260,02,260,02,270,03,270,03,270,06,240,11,240,10,,240,11,,03
,25,000,00,340,02,130,04,270,03,220,12,230,14,250,18,240,06,,250,18,,05
,26,240,05,000,00,040,02,330,07,350,12,030,08,350,10,060,02,,350,12,,06
,27,130,05,150,05,100,09,090,02,240,10,240,14,240,10,240,09,,240,14,,09
,28,100,06,090,03,120,06,100,05,270,04,250,09,250,12,240,13,,240,13,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,13,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,21,,
