,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,JULIO 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,030,03,150,03,000,00,240,05,000,00,270,05,090,04,000,00,,240,05,,03
,2,000,00,140,08,180,05,000,00,000,00,030,08,240,08,030,12,,030,12,,07
,3,130,09,090,04,120,09,090,06,050,10,020,10,350,08,090,05,,050,10,,09
,4,240,02,000,00,220,05,260,05,000,00,230,07,260,07,270,03,,230,07,,04
,5,270,05,160,03,080,05,320,23,350,20,140,04,000,00,130,09,,320,23,,05
,6,360,06,160,07,130,07,250,02,000,00,000,00,240,06,000,00,,160,07,,04
,7,000,00,000,00,110,04,120,09,090,05,030,08,050,06,140,03,,120,09,,05
,8,030,03,030,06,060,09,040,08,070,06,050,09,020,11,360,11,,020,11,,09
,9,050,10,110,10,090,08,120,12,080,08,100,08,050,07,090,07,,120,12,,08
,10,100,04,130,00,080,06,130,07,090,03,020,10,030,12,010,08,,030,12,,07
,11,090,06,090,05,270,02,000,00,300,02,240,08,240,08,220,07,,240,08,,06
,12,230,12,210,05,090,04,000,00,230,10,240,18,230,18,240,10,,240,18,,10
,13,240,07,000,00,000,00,130,03,000,00,240,15,240,14,270,03,,240,15,,03
,14,000,00,240,14,250,16,180,05,240,11,220,18,240,15,240,13,,220,18,,14
,15,250,14,180,10,000,00,240,10,240,07,240,07,240,20,240,26,,240,26,,10
,16,240,10,240,03,190,03,000,00,040,05,330,03,040,04,090,06,,240,10,,04
,17,140,06,100,03,090,02,150,09,090,04,080,06,090,03,060,03,,150,09,,04
,18,110,05,000,00,090,05,090,05,080,03,240,14,240,13,230,10,,240,14,,05
,19,190,04,000,00,220,03,000,00,000,00,250,04,240,05,240,02,,240,05,,03
,20,190,03,180,02,240,02,220,03,220,13,240,15,240,15,240,02,,240,15,,03
,21,220,03,000,00,000,00,000,00,060,04,240,16,240,16,220,07,,240,16,,04
,22,050,04,000,00,100,04,160,10,310,03,240,09,240,12,240,05,,240,12,,05
,23,020,01,090,04,000,00,090,01,250,03,240,14,240,11,260,04,,240,14,,04
,24,000,00,000,00,270,02,260,03,270,02,090,09,100,08,100,09,,090,09,,03
,25,060,05,090,05,090,06,080,05,090,09,040,11,030,11,010,11,,040,11,,08
,26,030,10,080,15,030,15,090,07,030,15,030,12,100,06,120,08,,080,15,,11
,27,140,07,130,07,000,00,250,03,270,03,270,05,000,00,080,03,,140,07,,03
,28,130,06,000,00,000,00,000,00,020,02,140,05,240,04,090,07,,090,07,,03
,29,180,02,240,05,260,05,260,04,240,04,270,05,050,03,000,00,,240,05,,04
,30,000,00,060,03,120,05,130,06,000,00,270,06,250,10,000,00,,250,10,,04
,31,000,00,000,00,000,00,140,05,090,03,250,11,230,10,230,03,,250,11,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,26,,
