,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,JULIO,,JULIO 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,120,06,140,06,140,08,120,07,030,04,330,05,240,04,330,06,,140,08,,06
,2,030,10,040,16,350,20,260,11,250,02,240,07,230,06,190,02,,350,20,,09
,3,010,02,270,03,050,02,160,02,050,03,250,05,250,10,210,03,,250,10,,03
,4,090,02,120,06,110,06,120,09,030,03,160,04,190,05,120,10,,120,10,,06
,5,160,07,200,08,290,02,230,10,330,04,210,12,220,04,240,04,,210,12,,06
,6,030,04,000,00,000,00,130,05,280,02,230,11,240,10,000,00,,230,11,,03
,7,230,07,090,02,000,00,000,00,120,05,220,08,220,03,000,00,,220,08,,03
,8,080,05,090,03,000,00,080,02,130,03,250,08,240,08,090,02,,250,08,,03
,9,090,04,090,03,240,05,000,00,120,04,030,02,090,04,120,04,,240,05,,04
,10,000,00,110,04,100,04,110,09,090,07,040,12,030,10,020,07,,040,12,,07
,11,040,09,080,05,090,08,120,07,100,08,070,04,330,07,040,06,,040,09,,07
,12,090,03,120,05,130,04,180,06,040,05,250,04,210,06,090,02,,180,06,,05
,13,040,03,110,08,090,08,060,03,080,09,010,07,010,06,030,10,,030,10,,08
,14,030,15,030,18,010,17,020,17,030,19,360,18,330,12,090,02,,030,19,,17
,15,080,02,110,07,120,04,000,00,000,00,260,05,230,04,000,00,,110,07,,03
,16,140,04,270,03,210,04,000,00,030,02,240,15,220,06,280,03,,240,15,,04
,17,180,10,240,05,110,05,240,04,240,05,240,14,240,09,230,13,,240,14,,07
,18,000,00,110,10,270,02,100,03,260,02,240,10,230,08,020,02,,110,10,,03
,19,070,05,040,06,040,05,050,05,060,08,050,05,060,06,030,04,,060,08,,05
,20,340,06,300,02,300,03,000,00,070,06,030,09,030,06,090,06,,030,09,,06
,21,060,06,000,00,120,06,000,00,090,04,240,07,240,10,240,11,,240,11,,06
,22,210,11,240,13,240,13,190,14,250,08,240,11,230,08,210,15,,210,15,,12
,23,180,18,180,20,220,07,180,04,070,03,230,15,200,08,160,09,,180,20,,09
,24,030,02,010,03,270,03,000,00,290,02,230,14,220,18,230,13,,220,18,,03
,25,190,04,200,06,180,05,090,03,030,03,240,16,240,10,000,00,,240,16,,05
,26,000,00,050,03,000,00,040,04,250,15,340,03,100,04,060,02,,250,15,,03
,27,230,02,000,00,000,00,100,08,260,09,250,12,140,06,230,10,,250,12,,07
,28,090,02,000,00,050,07,070,03,270,03,290,04,240,12,110,06,,240,12,,04
,29,060,04,040,06,000,00,150,08,240,15,240,16,240,08,090,04,,240,16,,07
,30,090,04,060,04,090,15,130,10,030,02,240,07,280,05,000,00,,090,15,,05
,31,080,05,070,02,150,02,100,04,110,06,240,05,120,08,100,06,,120,08,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,20,,
