,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,040,04,100,07,110,06,012,08,240,06,240,10,240,07,000,00,,240,10,,07
,2,000,00,000,00,090,05,270,03,240,12,240,13,240,16,220,08,,240,16,,07
,3,000,00,000,00,000,00,040,05,240,06,240,16,250,06,200,02,,240,16,,04
,4,150,05,150,04,100,02,000,00,280,05,190,15,240,18,240,20,,240,20,,05
,5,360,07,000,00,090,04,000,00,000,00,000,00,120,04,120,06,,360,07,,02
,6,070,04,090,04,170,04,110,06,000,00,000,00,240,12,040,03,,240,12,,04
,7,100,04,120,05,140,02,090,04,100,05,090,05,350,04,000,00,,120,05,,04
,8,250,02,070,04,240,02,160,02,000,00,260,12,240,11,170,07,,260,12,,03
,9,110,04,170,04,000,00,180,04,000,00,030,05,000,00,000,00,,030,05,,02
,10,000,00,140,00,000,00,140,03,120,02,000,00,030,04,010,04,,030,04,,01
,11,360,01,240,07,240,05,170,07,240,05,110,03,240,02,000,00,,240,07,,04
,12,150,04,190,03,090,04,120,08,070,05,030,10,030,05,000,00,,030,10,,05
,13,000,00,110,04,000,00,100,05,000,00,020,10,010,07,030,10,,020,10,,05
,14,000,00,000,00,160,05,130,05,060,06,240,02,090,07,000,00,,090,07,,04
,15,240,04,100,04,100,03,120,05,250,05,240,09,100,04,000,00,,240,09,,04
,16,000,00,220,07,000,00,000,00,240,03,240,08,240,06,240,04,,240,08,,04
,17,240,04,240,04,090,04,000,00,240,06,240,12,230,12,240,08,,240,12,,05
,18,230,12,090,06,090,06,070,08,090,05,240,11,220,18,210,10,,220,18,,09
,19,090,05,000,00,120,02,000,00,240,08,240,17,240,10,000,00,,240,17,,04
,20,100,07,130,05,160,05,000,00,030,05,240,11,240,10,000,00,,240,11,,05
,21,000,00,120,09,120,03,000,00,090,05,240,07,210,11,270,05,,210,11,,05
,22,110,09,100,10,240,08,120,07,270,02,250,05,140,05,240,05,,100,10,,06
,23,000,00,040,05,120,06,130,06,020,02,270,05,240,08,130,07,,240,08,,06
,24,090,06,050,02,090,02,000,00,090,03,250,08,240,09,240,07,,240,09,,05
,25,190,04,000,00,240,04,000,00,000,00,000,00,000,00,080,03,,190,04,,00
,26,060,06,000,00,140,03,230,03,100,18,270,10,300,05,030,04,,100,18,,05
,27,090,17,080,11,030,13,040,14,040,25,040,18,030,11,100,09,,040,25,,14
,28,130,09,020,15,010,21,360,20,350,21,350,12,330,03,090,05,,010,21,,14
,29,120,06,120,05,090,04,000,00,080,07,020,02,000,00,000,00,,080,07,,03
,30,000,00,270,03,000,00,000,00,000,00,270,02,230,10,360,06,,230,10,,01
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,11,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,
