,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,,,,,JUNIO 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,180,03,040,06,360,06,050,08,000,00,000,00,180,06,230,04,,050,08,,05
,2,000,00,050,04,000,00,010,04,000,00,010,04,050,10,190,05,,050,10,,04
,3,020,06,060,03,150,03,000,00,240,04,250,03,180,10,000,00,,180,10,,03
,4,190,03,080,03,200,05,000,00,000,00,000,00,010,03,340,03,,200,05,,03
,5,000,00,000,00,000,00,180,06,000,00,180,10,180,18,000,00,,180,18,,00
,6,000,00,080,04,030,05,020,04,000,00,180,09,180,10,000,00,,180,10,,04
,7,150,04,000,00,010,04,000,00,230,03,180,10,180,12,330,03,,180,12,,04
,8,060,04,190,05,090,08,080,06,210,10,210,07,180,11,090,07,,180,11,,07
,9,090,05,090,04,000,00,050,03,000,00,180,10,180,10,190,06,,180,10,,05
,10,000,00,190,04,350,05,190,06,170,08,180,16,190,19,160,05,,190,19,,06
,11,260,02,170,02,000,00,000,00,000,00,180,13,180,10,000,00,,180,13,,01
,12,000,00,080,04,000,00,000,00,020,03,200,11,170,14,000,00,,170,14,,02
,13,000,00,030,04,210,07,100,10,350,03,200,11,180,16,150,04,,180,16,,06
,14,000,00,040,05,130,22,150,12,170,10,180,13,220,08,350,05,,130,22,,09
,15,350,02,000,00,000,00,010,04,180,05,150,11,180,16,120,10,,180,16,,05
,16,180,02,000,00,050,04,270,02,010,03,180,12,180,09,000,00,,180,12,,03
,17,000,00,000,00,000,00,000,00,210,07,210,08,180,08,000,00,,210,08,,00
,18,000,00,000,00,000,00,000,00,220,07,210,05,080,03,000,00,,220,07,,00
,19,000,00,000,00,050,04,070,07,000,00,230,03,190,15,170,02,,190,15,,03
,20,000,00,000,00,000,00,000,00,210,04,180,12,180,10,260,03,,180,12,,02
,21,080,04,000,00,000,00,000,00,000,00,050,10,050,08,080,06,,050,10,,02
,22,090,05,000,00,190,04,000,00,000,00,320,05,000,00,180,06,,180,06,,02
,23,080,05,080,05,090,07,060,08,030,11,040,10,330,04,030,04,,030,11,,06
,24,040,07,040,05,060,09,030,10,020,06,300,08,300,06,050,07,,030,10,,07
,25,060,07,080,08,040,09,070,11,040,04,220,03,180,13,040,02,,180,13,,08
,26,220,05,270,03,000,00,000,00,000,00,000,00,180,10,000,00,,180,10,,00
,27,000,00,000,00,050,05,050,04,200,03,330,06,000,00,060,06,,330,06,,04
,28,120,04,000,00,050,03,050,04,050,03,030,04,000,00,150,09,,150,09,,04
,29,080,02,090,04,000,00,090,04,030,04,200,07,040,03,030,03,,200,07,,04
,30,080,04,080,04,000,00,040,03,210,03,250,02,060,03,000,00,,080,04,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,11,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,22,,
