,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,MARZO 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,210,08,100,03,000,00,100,03,240,09,240,20,240,12,240,10,,240,20,,09
,2,010,03,000,00,240,03,090,05,270,05,240,15,240,20,210,06,,240,20,,05
,3,210,04,000,00,000,00,000,00,260,06,240,18,240,20,240,05,,240,20,,05
,4,000,00,000,00,000,00,000,00,240,14,250,18,230,16,240,16,,250,18,,07
,5,250,04,220,05,260,03,000,00,250,02,260,13,260,18,230,09,,260,18,,05
,6,240,10,200,00,000,00,110,05,000,00,350,04,240,08,230,10,,240,10,,05
,7,240,04,240,08,150,03,180,06,280,06,240,15,220,15,350,04,,240,15,,06
,8,000,00,000,00,040,04,360,06,030,03,240,16,240,18,060,04,,240,18,,04
,9,000,00,000,00,000,00,000,00,000,00,270,04,240,13,140,03,,240,13,,00
,10,000,00,000,00,000,00,000,00,060,03,250,05,260,10,120,04,,260,10,,02
,11,000,00,000,00,100,06,120,04,070,06,020,02,040,06,000,00,,100,06,,03
,12,000,00,050,04,240,05,000,00,070,03,240,06,250,12,140,05,,250,12,,05
,13,000,00,000,00,110,03,000,00,300,03,000,00,190,08,360,05,,190,08,,02
,14,270,07,000,00,130,03,260,03,270,05,220,21,230,16,100,04,,220,21,,05
,15,000,00,000,00,080,03,130,05,000,00,250,08,220,10,210,08,,220,10,,04
,16,180,03,090,03,000,00,120,06,040,09,010,04,250,11,000,00,,250,11,,04
,17,270,02,000,00,090,03,010,03,000,00,240,12,230,10,080,03,,240,12,,03
,18,000,00,090,04,140,06,060,10,060,07,250,09,240,14,000,00,,240,14,,07
,19,000,00,210,05,040,06,200,03,030,03,230,12,250,11,230,06,,230,12,,06
,20,100,03,140,05,000,00,000,00,110,15,020,04,000,00,080,04,,110,15,,04
,21,000,00,000,00,320,04,050,08,360,14,020,12,020,10,030,07,,360,14,,08
,22,030,04,000,00,000,00,080,06,040,04,290,07,000,00,000,00,,290,07,,02
,23,000,00,000,00,000,00,050,04,030,03,020,04,000,00,040,03,,050,04,,02
,24,000,00,250,04,100,10,000,00,010,04,000,00,240,05,230,08,,100,10,,04
,25,000,00,050,06,280,03,120,03,110,04,230,15,000,00,000,00,,230,15,,03
,26,060,04,080,07,090,06,240,06,240,10,240,18,240,16,240,07,,240,18,,07
,27,080,06,040,04,000,00,000,00,030,04,250,10,240,12,030,10,,240,12,,05
,28,000,00,000,00,090,04,000,00,030,04,250,14,250,14,250,04,,250,14,,04
,29,210,05,210,04,000,00,000,00,240,10,240,18,220,12,230,08,,240,18,,07
,30,210,04,100,03,120,03,000,00,230,04,250,19,230,14,230,09,,250,19,,04
,31,150,04,240,05,100,04,000,00,000,00,240,15,240,20,040,05,,240,20,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,21,,
