,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,MAYO 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,080,04,270,03,110,05,090,04,070,06,090,05,270,06,150,08,,150,08,,05
,2,150,03,100,04,070,04,090,05,100,06,100,05,090,08,070,04,,090,08,,05
,3,160,07,120,09,120,07,140,04,000,00,240,15,240,10,120,04,,240,15,,07
,4,000,00,000,00,280,02,240,02,240,06,230,14,240,13,240,02,,230,14,,02
,5,240,05,290,03,170,03,050,02,270,04,080,03,050,03,090,03,,240,05,,03
,6,000,00,000,00,030,03,270,04,120,05,220,14,220,12,000,00,,220,14,,04
,7,090,06,040,03,090,03,250,03,040,03,230,14,240,22,220,10,,240,22,,05
,8,160,05,060,04,050,05,060,05,000,00,260,08,260,06,110,04,,260,08,,05
,9,230,03,230,05,220,04,270,03,010,02,030,03,060,03,000,00,,230,05,,03
,10,180,02,200,10,190,03,200,05,000,00,240,05,180,03,120,03,,200,10,,03
,11,000,00,000,00,030,05,050,02,040,02,250,03,220,05,000,00,,030,05,,02
,12,220,06,050,02,100,03,040,04,240,12,210,13,240,12,200,07,,210,13,,07
,13,000,00,110,03,110,04,090,02,020,04,330,04,090,02,080,05,,080,05,,04
,14,090,03,060,04,040,04,100,05,090,02,100,02,250,13,240,06,,250,13,,04
,15,050,04,000,00,000,00,000,00,090,03,230,10,220,12,220,04,,220,12,,04
,16,220,04,240,02,150,02,000,00,000,00,250,23,240,07,240,03,,250,23,,03
,17,030,03,180,02,000,00,260,04,060,05,250,06,030,02,240,08,,240,08,,04
,18,260,03,240,05,090,06,240,05,250,03,250,15,240,08,030,08,,250,15,,06
,19,270,03,120,02,000,00,050,03,000,00,240,15,200,13,010,08,,240,15,,03
,20,230,06,080,05,100,06,120,06,080,06,020,04,350,10,030,04,,350,10,,06
,21,040,08,050,11,040,10,020,16,010,16,350,13,030,07,120,10,,020,16,,11
,22,110,08,090,03,120,04,110,05,000,00,240,09,240,07,250,07,,240,09,,06
,23,000,00,090,05,090,08,100,05,050,05,340,02,250,10,050,02,,250,10,,05
,24,000,00,110,06,070,08,070,04,090,04,020,06,060,05,070,02,,070,08,,05
,25,090,09,090,06,120,08,120,07,240,06,240,06,240,15,270,03,,240,15,,07
,26,120,07,000,00,000,00,100,06,290,05,240,07,240,05,010,05,,120,07,,05
,27,000,00,000,00,000,00,000,00,240,03,240,03,120,04,240,04,,120,04,,02
,28,100,12,030,11,020,14,050,14,050,15,020,12,340,15,010,19,,010,19,,14
,29,030,17,020,09,030,10,060,10,020,16,020,12,080,05,020,03,,030,17,,10
,30,090,05,120,08,110,04,120,02,000,00,240,11,240,10,000,00,,240,11,,05
,31,100,05,000,00,000,00,000,00,010,02,240,12,240,10,250,03,,240,12,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,11,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,23,,
