,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAISO,,,,,MES/AÑO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,280,03,000,00,240,05,310,09,090,02,130,03,230,11,000,00,,230,11,,03
,2,220,10,090,03,000,00,140,03,080,04,110,11,270,04,200,05,,110,11,,04
,3,000,00,090,03,000,00,180,04,260,05,230,15,250,03,090,03,,230,15,,03
,4,090,05,070,03,050,05,000,00,100,06,240,04,240,06,000,00,,100,06,,05
,5,000,00,030,04,050,06,090,05,320,06,260,10,240,10,130,03,,260,10,,06
,6,050,07,000,00,070,04,240,05,240,08,250,10,090,08,100,05,,250,10,,06
,7,130,08,090,05,090,03,120,06,130,04,240,11,220,15,220,07,,220,15,,07
,8,250,07,120,07,000,00,200,04,270,03,260,05,240,08,160,06,,240,08,,06
,9,000,00,090,05,100,10,060,07,030,10,060,12,030,06,080,10,,060,12,,09
,10,090,06,150,00,000,00,150,06,300,03,240,12,230,04,100,03,,240,12,,04
,11,000,00,320,03,000,00,230,03,250,06,250,13,240,15,230,08,,240,15,,05
,12,200,03,030,02,240,05,240,08,240,10,240,14,240,17,240,22,,240,22,,09
,13,160,10,000,00,000,00,000,00,240,18,240,20,240,18,200,04,,240,20,,07
,14,240,06,240,06,220,10,220,10,240,15,240,13,240,20,220,10,,240,20,,10
,15,220,07,000,00,120,08,100,05,260,10,240,20,240,10,230,11,,240,20,,09
,16,024,11,000,00,090,05,140,04,280,06,260,10,240,20,240,03,,240,20,,06
,17,290,04,070,03,070,05,090,04,250,07,240,18,240,20,330,06,,240,20,,06
,18,230,03,000,00,160,07,070,03,240,09,230,17,240,08,020,03,,230,17,,05
,19,190,03,060,03,120,05,000,00,070,30,230,19,180,10,210,05,,070,30,,05
,20,190,05,240,06,000,00,230,10,250,10,250,15,240,15,240,14,,250,15,,10
,21,230,08,180,03,160,05,240,06,240,12,240,17,240,18,030,03,,240,18,,07
,22,060,03,120,04,000,00,000,00,240,15,240,20,240,19,000,00,,240,20,,04
,23,000,00,120,05,000,00,130,09,270,06,100,07,030,04,090,06,,130,09,,06
,24,050,05,090,06,100,08,050,06,090,08,030,08,030,05,040,06,,100,08,,06
,25,010,05,000,00,000,00,140,03,050,02,250,10,250,17,240,08,,250,17,,04
,26,220,02,180,04,100,06,040,06,050,03,270,04,250,10,230,07,,250,10,,05
,27,000,00,060,04,080,03,210,03,230,15,240,15,230,20,330,04,,230,20,,04
,28,000,00,240,10,000,00,000,00,230,19,240,14,240,20,240,17,,240,20,,12
,29,250,08,000,00,000,00,000,00,240,12,240,20,240,20,000,00,,240,20,,04
,30,000,00,110,04,140,03,100,05,250,08,240,20,230,14,240,03,,240,20,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,16,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,30,,
