,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,FARO PUNTA ANGELES,,,,,MES/AÑO,,SEPTIEMBRE 2015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,000,00,000,00,000,00,000,00,000,00,180,10,040,10,060,05,,180,10,,00
,2,000,00,000,00,040,05,000,00,000,00,240,07,180,15,000,00,,180,15,,00
,3,000,00,000,00,000,00,000,00,000,00,180,23,170,16,050,09,,180,23,,00
,4,000,00,090,05,000,00,000,00,000,00,060,05,000,00,300,04,,090,05,,00
,5,000,00,000,00,000,00,000,00,350,04,330,13,350,14,340,10,,350,14,,02
,6,360,10,360,12,350,14,350,08,330,14,320,15,360,07,360,11,,320,15,,12
,7,360,12,320,19,300,19,320,22,300,17,300,08,350,10,350,05,,320,22,,15
,8,080,05,000,00,000,00,000,00,180,14,170,13,160,13,180,16,,180,16,,09
,9,180,10,000,00,000,00,070,04,180,10,180,09,180,13,180,09,,180,13,,09
,10,000,00,150,00,000,00,150,05,180,06,180,18,180,17,180,15,,180,18,,06
,11,180,08,000,00,350,04,000,00,180,06,180,13,180,16,180,09,,180,16,,07
,12,350,04,000,00,000,00,000,00,000,00,180,10,200,07,180,04,,180,10,,02
,13,090,07,000,00,000,00,000,00,180,07,200,06,040,04,030,04,,090,07,,04
,14,200,07,030,07,020,08,000,00,000,00,000,00,300,07,350,07,,020,08,,07
,15,360,06,000,00,000,00,000,00,170,05,170,05,160,12,000,00,,160,12,,03
,16,190,03,060,06,000,00,050,06,340,04,330,05,350,04,180,07,,180,07,,05
,17,000,00,180,06,000,00,000,00,180,05,180,20,180,15,000,00,,180,20,,03
,18,000,00,000,00,000,00,360,03,190,03,180,15,180,14,000,00,,180,15,,02
,19,000,00,000,00,000,00,000,00,000,00,170,14,180,10,000,00,,170,14,,00
,20,000,00,190,06,000,00,000,00,190,07,000,00,180,04,000,00,,190,07,,00
,21,330,06,360,08,360,14,360,08,330,11,350,06,000,00,000,00,,360,14,,07
,22,000,00,000,00,000,00,000,00,000,00,210,08,200,11,000,00,,200,11,,00
,23,000,00,080,04,000,00,080,06,320,05,330,07,000,00,330,05,,330,07,,05
,24,010,10,350,12,240,11,060,08,000,00,260,07,220,07,150,06,,350,12,,08
,25,090,09,000,00,030,09,180,14,060,06,180,15,180,12,160,20,,160,20,,11
,26,070,06,180,05,000,00,000,00,180,12,180,20,190,16,000,00,,180,20,,06
,27,000,00,000,00,000,00,000,00,000,00,180,15,190,05,170,06,,180,15,,00
,28,000,00,140,04,000,00,000,00,190,17,180,24,180,29,200,05,,180,29,,05
,29,180,10,000,00,000,00,000,00,000,00,180,20,200,02,170,10,,180,20,,01
,30,000,00,000,00,000,00,010,04,000,00,250,07,270,06,010,05,,250,07,,02
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,29,,
